row_label_raw,row_label_full,14. Bất động sản đầu tư,01/01/2022,Biến động trong năm > Tăng,Biến động trong năm > Giảm,31/12/2022,numeric__01/01/2022,numeric__Biến động trong năm > Tăng,numeric__Biến động trong năm > Giảm,numeric__31/12/2022
a. Bất động sản đầu tư cho thuê,a. Bất động sản đầu tư cho thuê,a. Bất động sản đầu tư cho thuê,a. Bất động sản đầu tư cho thuê,a. Bất động sản đầu tư cho thuê,a. Bất động sản đầu tư cho thuê,a. Bất động sản đầu tư cho thuê,,,,
Nguyên giá,a. Bất động sản đầu tư cho thuê > Nguyên giá,Nguyên giá,2.164.020.409.434,72.621.508.615,-,2.236.641.918.049,2164020409434.0,72621508615.0,,2236641918049.0
- Quyền sử dụng đất,a. Bất động sản đầu tư cho thuê > - Quyền sử dụng đất,- Quyền sử dụng đất,242.026.264.360,,-,242.026.264.360,242026264360.0,,,242026264360.0
- Cơ sở hạ tầng,a. Bất động sản đầu tư cho thuê > - Cơ sở hạ tầng,- Cơ sở hạ tầng,1.921.994.145.074,72.621.508.615,-,1.994.615.653.689,1921994145074.0,72621508615.0,,1994615653689.0
Giá trị hao mòn lũy kế,a. Bất động sản đầu tư cho thuê > Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,686.228.808.348,131.762.103.564,-,817.990.911.912,686228808348.0,131762103564.0,,817990911912.0
- Quyền sử dụng đất,a. Bất động sản đầu tư cho thuê > - Quyền sử dụng đất,- Quyền sử dụng đất,72.532.780.363,-,,72.532.780.363,72532780363.0,,,72532780363.0
- Cơ sở hạ tầng,a. Bất động sản đầu tư cho thuê > - Cơ sở hạ tầng,- Cơ sở hạ tầng,613.696.027.985,131.762.103.564,,745.458.131.549,613696027985.0,131762103564.0,,745458131549.0
Giá trị còn lại,a. Bất động sản đầu tư cho thuê > Giá trị còn lại,Giá trị còn lại,1.477.791.601.086,(59.140.594.949),-,1.418.651.006.137,1477791601086.0,-59140594949.0,,1418651006137.0
- Quyền sử dụng đất,a. Bất động sản đầu tư cho thuê > - Quyền sử dụng đất,- Quyền sử dụng đất,169.493.483.997,-,-,169.493.483.997,169493483997.0,,,169493483997.0
- Cơ sở hạ tầng,a. Bất động sản đầu tư cho thuê > - Cơ sở hạ tầng,- Cơ sở hạ tầng,1.308.298.117.089,(59.140.594.949),-,1.249.157.522.140,1308298117089.0,-59140594949.0,,1249157522140.0
