row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất,"Bản quyền, bằng sáng chế","Phần mềm, bản quyền máy tính",Tài sản cố định vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,"numeric__Bản quyền, bằng sáng chế","numeric__Phần mềm, bản quyền máy tính",numeric__Tài sản cố định vô hình khác,numeric__Tổng cộng
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,,,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,122.922.078.178,996.381.619,53.301.457.153,21.446.888.637,198.666.805.587,122922078178.0,996381619.0,53301457153.0,21446888637.0,198666805587.0
- Mua trong năm,Nguyên giá TSCĐ vô hình > - Mua trong năm,- Mua trong năm,2.268.038.000,-,1.027.400.000,713.486.973,4.008.924.973,2268038000.0,,1027400000.0,713486973.0,4008924973.0
"- Thanh lý, nhượng bán","Nguyên giá TSCĐ vô hình > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,,(100.000.000),,(100.000.000),,,-100000000.0,,-100000000.0
- Chênh lệch do chuyển đổi BCTC,Nguyên giá TSCĐ vô hình > - Chênh lệch do chuyển đổi BCTC,- Chênh lệch do chuyển đổi BCTC,,,251.326.423,,251.326.423,,,251326423.0,,251326423.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,125.190.116.178,996.381.619,54.480.183.576,22.160.375.610,202.827.056.983,125190116178.0,996381619.0,54480183576.0,22160375610.0,202827056983.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,24.487.643.668,731.683.415,44.246.968.449,8.415.947.313,77.882.242.845,24487643668.0,731683415.0,44246968449.0,8415947313.0,77882242845.0
- Khấu hao trong kỳ,Giá trị hao mòn lũy kế > - Khấu hao trong kỳ,- Khấu hao trong kỳ,1.840.007.783,249.463.874,2.867.400.637,2.539.834.765,7.496.707.059,1840007783.0,249463874.0,2867400637.0,2539834765.0,7496707059.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,,(100.000.000),,(100.000.000),,,-100000000.0,,-100000000.0
- Chênh lệch do chuyển đổi BCTC,Giá trị hao mòn lũy kế > - Chênh lệch do chuyển đổi BCTC,- Chênh lệch do chuyển đổi BCTC,,,(71.747.471),,(71.747.471),,,-71747471.0,,-71747471.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,26.327.651.451,981.147.289,46.942.621.615,10.955.782.078,85.207.202.433,26327651451.0,981147289.0,46942621615.0,10955782078.0,85207202433.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,,,,,,,
- Tại ngày đầu năm,Giá trị còn lại của TSCĐ vô hình > - Tại ngày đầu năm,- Tại ngày đầu năm,98.434.434.510,264.698.204,9.054.488.704,13.030.941.324,120.784.562.742,98434434510.0,264698204.0,9054488704.0,13030941324.0,120784562742.0
- Tại ngày cuối năm,Giá trị còn lại của TSCĐ vô hình > - Tại ngày cuối năm,- Tại ngày cuối năm,98.862.464.727,15.234.330,7.537.561.961,11.204.593.532,117.619.854.550,98862464727.0,15234330.0,7537561961.0,11204593532.0,117619854550.0
