row_label_raw,row_label_full,16. Tài sản thuế thu nhập hoãn lại và thuế thu nhập hoãn lại phải trả,31/12/2022,01/01/2022,numeric__31/12/2022,numeric__01/01/2022
a. Tài sản thuế thu nhập hoãn lại,a. Tài sản thuế thu nhập hoãn lại,a. Tài sản thuế thu nhập hoãn lại,168.229.975.157,285.030.253.411,168229975157.0,285030253411.0
- Thuế suất thuế TNDN sử dụng để xác định giá trị tài sản thuế thu nhập hoãn lại,- Thuế suất thuế TNDN sử dụng để xác định giá trị tài sản thuế thu nhập hoãn lại,- Thuế suất thuế TNDN sử dụng để xác định giá trị tài sản thuế thu nhập hoãn lại,20%,20%,0.2,0.2
- Tài sản thuế thu nhập hoãn lại liên quan đến khoản chênh lệch tạm thời được khấu trừ,- Tài sản thuế thu nhập hoãn lại liên quan đến khoản chênh lệch tạm thời được khấu trừ,- Tài sản thuế thu nhập hoãn lại liên quan đến khoản chênh lệch tạm thời được khấu trừ,168.229.975.157,285.030.253.411,168229975157.0,285030253411.0
b. Thuế thu nhập hoãn lại phải trả,b. Thuế thu nhập hoãn lại phải trả,b. Thuế thu nhập hoãn lại phải trả,4.291.419.969,-,4291419969.0,
- Thuế suất thuế TNDN sử dụng để xác định giá trị thuế thu nhập hoãn lại phải trả,- Thuế suất thuế TNDN sử dụng để xác định giá trị thuế thu nhập hoãn lại phải trả,- Thuế suất thuế TNDN sử dụng để xác định giá trị thuế thu nhập hoãn lại phải trả,20%,20%,0.2,0.2
- Thuế thu nhập hoãn lại phải trả phát sinh từ các khoản chênh lệch tạm thời chịu thuế,- Thuế thu nhập hoãn lại phải trả phát sinh từ các khoản chênh lệch tạm thời chịu thuế,- Thuế thu nhập hoãn lại phải trả phát sinh từ các khoản chênh lệch tạm thời chịu thuế,4.291.419.969,,4291419969.0,
17. Lợi thế thương mại,17. Lợi thế thương mại,17. Lợi thế thương mại,31/12/2022,01/01/2022,,
- Lợi thế thương mại đầu năm,17. Lợi thế thương mại > - Lợi thế thương mại đầu năm,- Lợi thế thương mại đầu năm,1.682.296.143,5.591.863.282,1682296143.0,5591863282.0
- Lợi thế thương mại tăng trong năm,17. Lợi thế thương mại > - Lợi thế thương mại tăng trong năm,- Lợi thế thương mại tăng trong năm,40.000.000.000,,40000000000.0,
- Lợi thế thương mại đã phân bổ trong năm,17. Lợi thế thương mại > - Lợi thế thương mại đã phân bổ trong năm,- Lợi thế thương mại đã phân bổ trong năm,(4.768.006.524),(3.909.567.140),-4768006524.0,-3909567140.0
Lợi thế thương mại cuối năm,17. Lợi thế thương mại > Lợi thế thương mại cuối năm,Lợi thế thương mại cuối năm,36.914.289.619,1.682.296.142,36914289619.0,1682296142.0
18. Phải trả người bán,18. Phải trả người bán,18. Phải trả người bán,18. Phải trả người bán,18. Phải trả người bán,,
18.1. Phải trả người bán ngắn hạn,18.1. Phải trả người bán ngắn hạn,18.1. Phải trả người bán ngắn hạn,31/12/2022,01/01/2022,,
Phải trả người bán về hàng hóa nội địa,18.1. Phải trả người bán ngắn hạn > Phải trả người bán về hàng hóa nội địa,Phải trả người bán về hàng hóa nội địa,471.627.248.203,399.667.076.203,471627248203.0,399667076203.0
Phải trả người bán về hàng hóa nhập khẩu,18.1. Phải trả người bán ngắn hạn > Phải trả người bán về hàng hóa nhập khẩu,Phải trả người bán về hàng hóa nhập khẩu,16.644.403.664,3.151.750.963,16644403664.0,3151750963.0
"Phải trả người bán về thi công, xây lắp công trình xây dựng","18.1. Phải trả người bán ngắn hạn > Phải trả người bán về thi công, xây lắp công trình xây dựng","Phải trả người bán về thi công, xây lắp công trình xây dựng",174.439.160.044,202.233.329.317,174439160044.0,202233329317.0
Phải trả người bán về dịch vụ nội địa được cung cấp,18.1. Phải trả người bán ngắn hạn > Phải trả người bán về dịch vụ nội địa được cung cấp,Phải trả người bán về dịch vụ nội địa được cung cấp,121.873.922.988,77.351.964.666,121873922988.0,77351964666.0
Phải trả người bán khác,18.1. Phải trả người bán ngắn hạn > Phải trả người bán khác,Phải trả người bán khác,131.942.269.323,170.172.155.916,131942269323.0,170172155916.0
Cộng,18.1. Phải trả người bán ngắn hạn > Cộng,Cộng,916.527.004.222,852.576.277.065,916527004222.0,852576277065.0
19. Người mua trả tiền trước,19. Người mua trả tiền trước,19. Người mua trả tiền trước,19. Người mua trả tiền trước,19. Người mua trả tiền trước,,
19.1. Người mua trả tiền trước ngắn hạn,19.1. Người mua trả tiền trước ngắn hạn,19.1. Người mua trả tiền trước ngắn hạn,31/12/2022,01/01/2022,,
Người mua trả trước về mua mù cao su nội địa,19.1. Người mua trả tiền trước ngắn hạn > Người mua trả trước về mua mù cao su nội địa,Người mua trả trước về mua mù cao su nội địa,203.559.968.397,165.314.710.306,203559968397.0,165314710306.0
Người mua trả trước về mua mù cao xu xuất khẩu,19.1. Người mua trả tiền trước ngắn hạn > Người mua trả trước về mua mù cao xu xuất khẩu,Người mua trả trước về mua mù cao xu xuất khẩu,133.848.148.098,47.372.249.639,133848148098.0,47372249639.0
"Người mua trả trước về hoạt động gia công chế biến mù cao su, chế biến pallet","19.1. Người mua trả tiền trước ngắn hạn > Người mua trả trước về hoạt động gia công chế biến mù cao su, chế biến pallet","Người mua trả trước về hoạt động gia công chế biến mù cao su, chế biến pallet",608.000.000,362.970,608000000.0,362970.0
Người mua trả trước về dịch vụ kiểm định chất lượng mù cao su,19.1. Người mua trả tiền trước ngắn hạn > Người mua trả trước về dịch vụ kiểm định chất lượng mù cao su,Người mua trả trước về dịch vụ kiểm định chất lượng mù cao su,-,8.887.000,,8887000.0
