row_label_raw,row_label_full,04.1. Trả trước cho người bán ngắn hạn,31/12/2022,01/01/2022,numeric__31/12/2022,numeric__01/01/2022
Trả trước người bán về hàng hóa nội địa,Trả trước người bán về hàng hóa nội địa,Trả trước người bán về hàng hóa nội địa,23.277.857.029,116.023.899.528,23277857029.0,116023899528.0
Trả trước người bán về hàng hóa nhập khẩu,Trả trước người bán về hàng hóa nhập khẩu,Trả trước người bán về hàng hóa nhập khẩu,32.613.055.290,3.941.322.909,32613055290.0,3941322909.0
"Trả trước người bán về thi công, xây lắp công trình xây dựng","Trả trước người bán về thi công, xây lắp công trình xây dựng","Trả trước người bán về thi công, xây lắp công trình xây dựng",222.163.146.874,204.936.493.276,222163146874.0,204936493276.0
Trả trước người bán về dịch vụ nội địa được cung cấp,Trả trước người bán về dịch vụ nội địa được cung cấp,Trả trước người bán về dịch vụ nội địa được cung cấp,59.527.073.409,71.311.251.216,59527073409.0,71311251216.0
Trả trước người bán khác,Trả trước người bán khác,Trả trước người bán khác,111.585.885.540,114.650.659.186,111585885540.0,114650659186.0
Cộng,Cộng,Cộng,449.167.018.142,510.863.626.115,449167018142.0,510863626115.0
04.2. Trả trước cho người bán dài hạn,04.2. Trả trước cho người bán dài hạn,04.2. Trả trước cho người bán dài hạn,31/12/2022,01/01/2022,,
"Trả trước người bán về thi công, xây lắp công trình xây dựng","04.2. Trả trước cho người bán dài hạn > Trả trước người bán về thi công, xây lắp công trình xây dựng","Trả trước người bán về thi công, xây lắp công trình xây dựng",191.700.000,191.700.000,191700000.0,191700000.0
Trả trước người bán khác,04.2. Trả trước cho người bán dài hạn > Trả trước người bán khác,Trả trước người bán khác,2.857.884.972,74.550.209.565,2857884972.0,74550209565.0
Cộng,04.2. Trả trước cho người bán dài hạn > Cộng,Cộng,3.049.584.972,74.741.909.565,3049584972.0,74741909565.0
