row_label_raw,row_label_full,Chỉ tiêu > Thuế giá trị gia tăng nội địa > Thuế giá trị gia tăng nhập khẩu,01/01/2022 > 80.810.229.668 > -,Số phải nộp trong năm > 719.615.350.512 > 34.081.505.611,Số thực nộp trong năm > (733.397.836.385) > (34.081.505.611),31/12/2022 > 67.027.743.795 > -,numeric__01/01/2022 > 80.810.229.668 > -,numeric__Số phải nộp trong năm > 719.615.350.512 > 34.081.505.611,numeric__Số thực nộp trong năm > (733.397.836.385) > (34.081.505.611),numeric__31/12/2022 > 67.027.743.795 > -
"Thuế xuất khẩu, nhập khẩu","Thuế xuất khẩu, nhập khẩu","Thuế xuất khẩu, nhập khẩu",346.159.484,38.461.278.850,(38.705.741.694),101.696.640,346159484.0,38461278850.0,-38705741694.0,101696640.0
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,-,1.179.019.648,(1.093.307.973),85.711.675,,1179019648.0,-1093307973.0,85711675.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,54.581.916.269,963.660.897.429,(767.483.631.746),250.759.181.952,54581916269.0,963660897429.0,-767483631746.0,250759181952.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,7.168.984.827,57.730.925.607,(58.611.141.477),6.288.768.957,7168984827.0,57730925607.0,-58611141477.0,6288768957.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",83.988.018.864,687.404.887.522,(891.519.036.945),(120.126.130.559),83988018864.0,687404887522.0,-891519036945.0,-120126130559.0
Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,(2.034.050),7.283.025.042,(6.037.965.157),1.243.025.835,-2034050.0,7283025042.0,-6037965157.0,1243025835.0
Thuế môn bài,Thuế môn bài,Thuế môn bài,-,897.914.640,(368.557.227),529.357.413,,897914640.0,-368557227.0,529357413.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.349.389.694,110.725.543.253,(114.064.688.037),(989.755.090),2349389694.0,110725543253.0,-114064688037.0,-989755090.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,10.414.849.491,76.832.511.494,(45.295.485.587),41.951.875.398,10414849491.0,76832511494.0,-45295485587.0,41951875398.0
"Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác",(21.568.807.483),27.402.838.357,(21.351.166.620),(15.517.135.746),-21568807483.0,27402838357.0,-21351166620.0,-15517135746.0
Cộng,Cộng,Cộng,218.088.706.764,2.725.275.697.965,(2.712.010.064.459),231.354.340.270,218088706764.0,2725275697965.0,-2712010064459.0,231354340270.0
