row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2021,Quá hạn > Tại ngày 31 tháng 12 năm 2021,Không chịu lãi suất > Tại ngày 31 tháng 12 năm 2021,Dưới 1 tháng > Tại ngày 31 tháng 12 năm 2021,Từ 1 tháng đến 3 tháng > Tại ngày 31 tháng 12 năm 2021,Từ trên 3 tháng đến 6 tháng > Tại ngày 31 tháng 12 năm 2021,Từ trên 6 tháng đến 12 tháng > Tại ngày 31 tháng 12 năm 2021,Từ trên 1 năm đến 5 năm > Tại ngày 31 tháng 12 năm 2021,Trên 5 năm > Tại ngày 31 tháng 12 năm 2021,Tổng cộng > Tại ngày 31 tháng 12 năm 2021,numeric__Quá hạn > Tại ngày 31 tháng 12 năm 2021,numeric__Không chịu lãi suất > Tại ngày 31 tháng 12 năm 2021,numeric__Dưới 1 tháng > Tại ngày 31 tháng 12 năm 2021,numeric__Từ 1 tháng đến 3 tháng > Tại ngày 31 tháng 12 năm 2021,numeric__Từ trên 3 tháng đến 6 tháng > Tại ngày 31 tháng 12 năm 2021,numeric__Từ trên 6 tháng đến 12 tháng > Tại ngày 31 tháng 12 năm 2021,numeric__Từ trên 1 năm đến 5 năm > Tại ngày 31 tháng 12 năm 2021,numeric__Trên 5 năm > Tại ngày 31 tháng 12 năm 2021,numeric__Tổng cộng > Tại ngày 31 tháng 12 năm 2021
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,7.509.867,-,-,-,-,-,-,7.509.867,,7509867.0,,,,,,,7509867.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,-,32.349.574,-,-,-,-,-,-,32.349.574,,32349574.0,,,,,,,32349574.0
Tiền gửi và cho vay các TCTD khác (i),Tài sản > Tiền gửi và cho vay các TCTD khác (i),Tiền gửi và cho vay các TCTD khác (i),-,-,30.798.437,18.053.504,-,-,-,61.000,48.912.941,,,30798437.0,18053504.0,,,,61000.0,48912941.0
Chứng khoán kinh doanh (i),Tài sản > Chứng khoán kinh doanh (i),Chứng khoán kinh doanh (i),-,10.620.680,-,-,-,-,-,-,10.620.680,,10620680.0,,,,,,,10620680.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,226.545,-,-,-,-,-,-,226.545,,226545.0,,,,,,,226545.0
Cho vay khách hàng (i),Tài sản > Cho vay khách hàng (i),Cho vay khách hàng (i),2.505.339,-,3.173.280,326.231.810,20.007.710,3.377.609,349.198,263.362,355.908.308,2505339.0,,3173280.0,326231810.0,20007710.0,3377609.0,349198.0,263362.0,355908308.0
Chứng khoán đầu tư (i),Tài sản > Chứng khoán đầu tư (i),Chứng khoán đầu tư (i),-,103.883,-,-,-,1.811.691,6.679.738,50.887.298,59.482.610,,103883.0,,,,1811691.0,6679738.0,50887298.0,59482610.0
"Góp vốn, đầu tư dài hạn (i)","Tài sản > Góp vốn, đầu tư dài hạn (i)","Góp vốn, đầu tư dài hạn (i)",-,3.804.317,-,-,-,-,-,-,3.804.317,,3804317.0,,,,,,,3804317.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,3.716.901,-,-,-,-,-,-,3.716.901,,3716901.0,,,,,,,3716901.0
Tài sản Có khác (i),Tài sản > Tài sản Có khác (i),Tài sản Có khác (i),175.916,6.959.781,-,-,-,-,-,-,7.135.697,175916.0,6959781.0,,,,,,,7135697.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,2.681.255,65.291.548,33.971.717,344.285.314,20.007.710,5.189.300,7.028.936,51.211.660,529.667.440,2681255.0,65291548.0,33971717.0,344285314.0,20007710.0,5189300.0,7028936.0,51211660.0,529667440.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,27.340.957,22.853.516,1.266.656,926.271,-,-,52.387.400,,,27340957.0,22853516.0,1266656.0,926271.0,,,52387400.0
