row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Phần mềmTriệu VND,Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềmTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2022,Nguyên giá > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,855.886,675.929,1.531.815,855886.0,675929.0,1531815.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,32.960,32.960,,32960.0,32960.0
Đầu tư xây dựng cơ bản hoàn thành(Thuyết minh 13.1(ii)),Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành(Thuyết minh 13.1(ii)),Đầu tư xây dựng cơ bản hoàn thành(Thuyết minh 13.1(ii)),24.148,69.154,93.302,24148.0,69154.0,93302.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(5.725),367,(5.358),-5725.0,367.0,-5358.0
Tại ngày 31 tháng 12 năm 2022,Nguyên giá > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,874.309,778.410,1.652.719,874309.0,778410.0,1652719.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,
Tại ngày 1 tháng 1 năm 2022,Hao mòn lũy kế > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,-,460.712,460.712,,460712.0,460712.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,148,72.399,72.547,148.0,72399.0,72547.0
Tại ngày 31 tháng 12 năm 2022,Hao mòn lũy kế > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,148,533.111,533.259,148.0,533111.0,533259.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,855.886,215.217,1.071.103,855886.0,215217.0,1071103.0
Tại ngày 31 tháng 12 năm 2022,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,874.161,245.299,1.119.460,874161.0,245299.0,1119460.0
Thông tin khác về tài sản cố định vô hình:,Thông tin khác về tài sản cố định vô hình:,Thông tin khác về tài sản cố định vô hình:,Thông tin khác về tài sản cố định vô hình:,Thông tin khác về tài sản cố định vô hình:,Thông tin khác về tài sản cố định vô hình:,,,
,,,,31.12.2022Triệu VND,31.12.2021Triệu VND,,,
Nguyên giá TSCĐ vô hình đã khấu hao hết nhưng vẫn còn sử dụng,Thông tin khác về tài sản cố định vô hình: > Nguyên giá TSCĐ vô hình đã khấu hao hết nhưng vẫn còn sử dụng,Nguyên giá TSCĐ vô hình đã khấu hao hết nhưng vẫn còn sử dụng,,347.434,191.453,,347434.0,191453.0
