row_label_raw,row_label_full,col_0,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng),Tổng giá trị ghi sô kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2021),Tổng giá trị ghi sô kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2021)_1,Tổng giá trị ghi sô kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2021)_2,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng),numeric__Tổng giá trị ghi sô kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2021),numeric__Tổng giá trị ghi sô kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2021)_1,numeric__Tổng giá trị ghi sô kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2021)_2
,,,Triệu VND,Tài sản Triệu VND,Công nợ Triệu VND,Tổng cộng Triệu VND,,,,
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,,,,
Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phải sinh tiền tệ > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,2.142.087,14.044,-,14.044,2142087.0,14044.0,,14044.0
Giao dịch hoán đổi tiền tệ,Công cụ tài chính phải sinh tiền tệ > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,38.404.819,212.501,-,212.501,38404819.0,212501.0,,212501.0
Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,,,,
Giao dịch hoán đổi lãi suất,Công cụ tài chính phải sinh khác > Giao dịch hoán đổi lãi suất,Giao dịch hoán đổi lãi suất,2.784.000,-,-,-,2784000.0,,,
,,,43.330.906,226.545,-,226.545,43330906.0,226545.0,,226545.0
