row_label_raw,row_label_full,col_0,31.12.2022Triệu VND,31.12.2021Triệu VND,numeric__31.12.2022Triệu VND,numeric__31.12.2021Triệu VND
Cho vay công ty con,Cho vay công ty con,Cho vay công ty con,745.400,551.400,745400.0,551400.0
Cho vay các bên liên quan khác (i),Cho vay các bên liên quan khác (i),Cho vay các bên liên quan khác (i),216.451,94.415,216451.0,94415.0
Tiền gửi của các công ty con,Tiền gửi của các công ty con,Tiền gửi của các công ty con,1.976.409,628.168,1976409.0,628168.0
Tiền gửi của các bên liên quan khác (i),Tiền gửi của các bên liên quan khác (i),Tiền gửi của các bên liên quan khác (i),812.726,1.084.890,812726.0,1084890.0
Lãi dự thu từ các khoản cho vay công ty con,Lãi dự thu từ các khoản cho vay công ty con,Lãi dự thu từ các khoản cho vay công ty con,4.810,3.281,4810.0,3281.0
Lãi dự thu từ các khoản cho vay các bên liên quan khác (i),Lãi dự thu từ các khoản cho vay các bên liên quan khác (i),Lãi dự thu từ các khoản cho vay các bên liên quan khác (i),667,296,667.0,296.0
Lãi dự chỉ cho tiền gửi của các công ty con,Lãi dự chỉ cho tiền gửi của các công ty con,Lãi dự chỉ cho tiền gửi của các công ty con,23.198,8.120,23198.0,8120.0
Lãi dự chỉ cho tiền gửi của các bên liên quan khác (i),Lãi dự chỉ cho tiền gửi của các bên liên quan khác (i),Lãi dự chỉ cho tiền gửi của các bên liên quan khác (i),10.221,25.380,10221.0,25380.0
Phải thu công ty con,Phải thu công ty con,Phải thu công ty con,146.000,185.000,146000.0,185000.0
Lợi nhuận được chia phải thu từ các công ty con,Lợi nhuận được chia phải thu từ các công ty con,Lợi nhuận được chia phải thu từ các công ty con,63.060,29.835,63060.0,29835.0
