row_label_raw,row_label_full,col_0,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng),Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2022),Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2022)_1,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2022)_2,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng),numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2022),numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2022)_1,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2022)_2
,,,Triệu VND,Tài sản Triệu VND,Công nợ Triệu VND,Tổng cộng Triệu VND,,,,
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,,,,
Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phải sinh tiền tệ > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,10.408.105,197.109,-,197.109,10408105.0,197109.0,,197109.0
Giao dịch hoán đổi tiền tệ,Công cụ tài chính phải sinh tiền tệ > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,30.191.706,-,(99.197),(99.197),30191706.0,,-99197.0,-99197.0
Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,,,,
Giao dịch hoán đổi lãi suất,Công cụ tài chính phải sinh khác > Giao dịch hoán đổi lãi suất,Giao dịch hoán đổi lãi suất,1.227.540,2.160,-,2.160,1227540.0,2160.0,,2160.0
,,,41.827.351,199.269,(99.197),100.072,41827351.0,199269.0,-99197.0,100072.0
