row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Năm 2022 Triệu VND,Năm 2021 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Năm 2022 Triệu VND,numeric__Năm 2021 Triệu VND
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
01,01,01,Mua sắm tài sản cố định,,(461.955),(624.682),,,-461955.0,-624682.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",,3.603,3.124,,,3603.0,3124.0
07,07,07,"Tiền chỉ đầu tư, góp vốn vào các đơn vị khác",,-,(1.700.000),,,,-1700000.0
08,08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",,57.851,150.000,,,57851.0,150000.0
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,75.377,41.807,,,75377.0,41807.0
II,II,II,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,(325.124),(2.129.751),,,-325124.0,-2129751.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
03,03,03,Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,-,(2.884.000),,,,-2884000.0
III,III,III,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,-,(2.884.000),,,,-2884000.0
IV,IV,IV,LU'U CHUYÊN TIÊN THUÀN TRONG NĂM,,20.913.592,36.627.938,,,20913592.0,36627938.0
V,V,V,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM ĐẦU NĂM,,82.516.282,45.888.344,,,82516282.0,45888344.0
VII,VII,VII,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM CUỐI NĂM,33.1452978,103.429.874,82.516.282,,331452978.0,103429874.0,82516282.0
