row_label_raw,row_label_full,1. Thu nhập lãi,9.386.351,6.976.233,65.063.849,(48.200.366),33.226.067,numeric__9.386.351,numeric__6.976.233,numeric__65.063.849,numeric__(48.200.366),numeric__33.226.067
Thu nhập lãi từ khách hàng bên ngoài,Thu nhập lãi từ khách hàng bên ngoài,Thu nhập lãi từ khách hàng bên ngoài,4.577.679,4.610.853,24.037.535,-,33.226.067,4577679.0,4610853.0,24037535.0,,33226067.0
Thu nhập lãi từ nội bộ,Thu nhập lãi từ nội bộ,Thu nhập lãi từ nội bộ,4.808.672,2.365.380,41.026.314,(48.200.366),-,4808672.0,2365380.0,41026314.0,-48200366.0,
2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,233.111,80.009,3.155.575,-,3.468.695,233111.0,80009.0,3155575.0,,3468695.0
3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,84.929,41.587,1.564.827,-,1.691.343,84929.0,41587.0,1564827.0,,1691343.0
Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,,,,,
1. Chi phí lãi,Chi phí > 1. Chi phí lãi,1. Chi phí lãi,(6.294.251),(4.399.770),(52.119.516),48.200.366,(14.613.171),-6294251.0,-4399770.0,-52119516.0,48200366.0,-14613171.0
Chi phí lãi khách hàng bên ngoài,Chi phí > Chi phí lãi khách hàng bên ngoài,Chi phí lãi khách hàng bên ngoài,(2.663.034),(865.389),(11.084.748),-,(14.613.171),-2663034.0,-865389.0,-11084748.0,,-14613171.0
Chi phí lãi nội bộ,Chi phí > Chi phí lãi nội bộ,Chi phí lãi nội bộ,(3.631.217),(3.534.381),(41.034.768),48.200.366,-,-3631217.0,-3534381.0,-41034768.0,48200366.0,
2. Chi phí khấu hao tài sản cố định,Chi phí > 2. Chi phí khấu hao tài sản cố định,2. Chi phí khấu hao tài sản cố định,(23.923),(21.617),(317.317),-,(362.857),-23923.0,-21617.0,-317317.0,,-362857.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,Chi phí > 3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(1.235.987),(854.720),(6.645.333),-,(8.736.040),-1235987.0,-854720.0,-6645333.0,,-8736040.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Chi phí > Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,2.150.230,1.821.722,10.702.085,-,14.674.037,2150230.0,1821722.0,10702085.0,,14674037.0
Chi phí dự phòng rủi ro,Chi phí > Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(678.221),(746.273),(1.895.507),-,(3.320.001),-678221.0,-746273.0,-1895507.0,,-3320001.0
Kết quả kinh doanh bộ phận,Chi phí > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,1.472.009,1.075.449,8.806.578,-,11.354.036,1472009.0,1075449.0,8806578.0,,11354036.0
