row_label_raw,row_label_full,col_0,col_1,Tại ngày > Thuyết minh,Tại ngày > 31.12.2022 Triệu VND,Tại ngày > 31.12.2021 Triệu VND,numeric__col_1,numeric__Tại ngày > Thuyết minh,numeric__Tại ngày > 31.12.2022 Triệu VND,numeric__Tại ngày > 31.12.2021 Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,14,505.876,-,,14.0,505876.0,
1,B > 1,1,"Tiền gửi và vay Chính phủ, Ngân hàng Nhà nước",,505.876,-,,,505876.0,
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,15,67.318.830,52.387.400,,15.0,67318830.0,52387400.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,60.025.722,41.401.462,,,60025722.0,41401462.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,7.293.108,10.985.938,,,7293108.0,10985938.0
III,B > III,III,Tiền gửi của khách hàng,16,415.754.187,380.401.038,,16.0,415754187.0,380401038.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",17,60.188,86.066,,17.0,60188.0,86066.0
VI,B > VI,VI,Phát hành giấy tờ có giá,18,44.202.621,30.024.128,,18.0,44202621.0,30024128.0
VII,B > VII,VII,Các khoản nợ khác,,21.860.815,16.937.053,,,21860815.0,16937053.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,5.546.515,4.587.880,,,5546515.0,4587880.0
3,B > 3,3,Các khoản phải trả và công nợ khác,19,16.314.300,12.349.173,,19.0,16314300.0,12349173.0
,,,TỔNG NỘ PHẢI TRẢ,,549.702.517,479.835.685,,,549702517.0,479835685.0
VIII,B > VIII,VIII,VỐN CHỦ SỞ HỮU,20,57.257.430,43.768.921,,20.0,57257430.0,43768921.0
1,B > 1,1,Vốn của tổ chức tín dụng,,34.046.130,27.291.260,,,34046130.0,27291260.0
a,B > a,a,Vốn điều lệ,,33.774.351,27.019.481,,,33774351.0,27019481.0
c,B > c,c,Thặng dư vốn cổ phần,,271.779,271.779,,,271779.0,271779.0
2,B > 2,2,Quỹ của tổ chức tín dụng,,8.791.274,6.745.497,,,8791274.0,6745497.0
5,B > 5,5,Lợi nhuận chưa phân phối,,14.420.026,9.732.164,,,14420026.0,9732164.0
a,B > a,a,Lợi nhuận năm nay,,11.592.730,7.731.836,,,11592730.0,7731836.0
b,B > b,b,Lợi nhuận lũy kế năm trước,,2.827.296,2.000.328,,,2827296.0,2000328.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,57.257.430,43.768.921,,,57257430.0,43768921.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,606.959.947,523.604.606,,,606959947.0,523604606.0
