row_label_raw,row_label_full,col_0,Tại ngày 31 tháng 12 năm 2022 > Miền BắcTriệu VND,Tại ngày 31 tháng 12 năm 2022 > Miền TrungTriệu VND,Tại ngày 31 tháng 12 năm 2022 > Miền NamTriệu VND,Tại ngày 31 tháng 12 năm 2022 > Loại trừTriệu VND,Tại ngày 31 tháng 12 năm 2022 > Tổng cộngTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2022 > Miền BắcTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2022 > Miền TrungTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2022 > Miền NamTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2022 > Loại trừTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2022 > Tổng cộngTriệu VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,
"1. Tiền mặt,vàng bạc, đá quý","Tài sản > 1. Tiền mặt,vàng bạc, đá quý","1. Tiền mặt,vàng bạc, đá quý",916.427,818.659,6.725.797,-,8.460.883,916427.0,818659.0,6725797.0,,8460883.0
2. Tài sản cố định,Tài sản > 2. Tài sản cố định,2. Tài sản cố định,196.657,398.743,3.308.751,-,3.904.151,196657.0,398743.0,3308751.0,,3904151.0
3. Tài sản khác,Tài sản > 3. Tài sản khác,3. Tài sản khác,85.197.112,63.351.456,572.225.720,(126.179.375),594.594.913,85197112.0,63351456.0,572225720.0,-126179375.0,594594913.0
,,,86.310.196,64.568.858,582.260.268,(126.179.375),606.959.947,86310196.0,64568858.0,582260268.0,-126179375.0,606959947.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,
1. Nợ phải trả kháchhàng bên ngoài,Nợ phải trả > 1. Nợ phải trả kháchhàng bên ngoài,1. Nợ phải trả kháchhàng bên ngoài,73.973.823,27.721.524,436.860.155,-,538.555.502,73973823.0,27721524.0,436860155.0,,538555502.0
2. Nợ phải trả nội bộ,Nợ phải trả > 2. Nợ phải trả nội bộ,2. Nợ phải trả nội bộ,10.240.524,35.155.647,82.440.105,(126.179.375),1.656.901,10240524.0,35155647.0,82440105.0,-126179375.0,1656901.0
3. Nợ phải trả khác,Nợ phải trả > 3. Nợ phải trả khác,3. Nợ phải trả khác,4.737,4.667,9.480.710,-,9.490.114,4737.0,4667.0,9480710.0,,9490114.0
,,,84.219.084,62.881.838,528.780.970,(126.179.375),549.702.517,84219084.0,62881838.0,528780970.0,-126179375.0,549702517.0
