row_label_raw,row_label_full,col_0,Năm 2022Triệu VND,Năm 2021Triệu VND,numeric__Năm 2022Triệu VND,numeric__Năm 2021Triệu VND
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,,
Thu hồi nợ xấu đã sử dụng dự phòng để xử lý rủi ro,Thu nhập khác > Thu hồi nợ xấu đã sử dụng dự phòng để xử lý rủi ro,Thu hồi nợ xấu đã sử dụng dự phòng để xử lý rủi ro,474.714,215.974,474714.0,215974.0
Thu nhập từ hoạt động bán nợ,Thu nhập khác > Thu nhập từ hoạt động bán nợ,Thu nhập từ hoạt động bán nợ,312.090,-,312090.0,
Thu từ hoạt động kinh doanh khác,Thu nhập khác > Thu từ hoạt động kinh doanh khác,Thu từ hoạt động kinh doanh khác,182.787,193.612,182787.0,193612.0
Thu nhập khác,Thu nhập khác > Thu nhập khác,Thu nhập khác,53.771,17.842,53771.0,17842.0
,,,1.023.362,427.428,1023362.0,427428.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,,
Chi về hoạt động kinh doanh khác,Chi phí khác > Chi về hoạt động kinh doanh khác,Chi về hoạt động kinh doanh khác,(139.353),(158.840),-139353.0,-158840.0
Chi phí khác,Chi phí khác > Chi phí khác,Chi phí khác,(19.190),(57.444),-19190.0,-57444.0
,,,(158.543),(216.284),-158543.0,-216284.0
,,,864.819,211.144,864819.0,211144.0
