row_label_raw,row_label_full,col_0,Vốn điều lệ Triệu VND,Thặng dư vốn cổ phần Triệu VND,Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,Quỹ dự phòng tài chính Triệu VND,Các quỹ khác (i) Triệu VND,Lợi nhuận chưa phân phối Triệu VND,Tổng cộng Triệu VND,numeric__Vốn điều lệ Triệu VND,numeric__Thặng dư vốn cổ phần Triệu VND,numeric__Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,numeric__Quỹ dự phòng tài chính Triệu VND,numeric__Các quỹ khác (i) Triệu VND,numeric__Lợi nhuận chưa phân phối Triệu VND,numeric__Tổng cộng Triệu VND
Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,21.615.585,271.779,1.546.256,3.834.678,121,7.554.224,34.822.643,21615585.0,271779.0,1546256.0,3834678.0,121.0,7554224.0,34822643.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,9.096.278,9.096.278,,,,,,9096278.0,9096278.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,454.814,909.628,-,(1.364.442),-,,,454814.0,909628.0,,-1364442.0,
"Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 19(ii))","Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 19(ii))","Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 19(ii))",-,-,-,-,-,(150.000),(150.000),,,,,,-150000.0,-150000.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,5.403.896,-,-,-,-,(5.403.896),-,5403896.0,,,,,-5403896.0,
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,27.019.481,271.779,2.001.070,4.744.306,121,9.732.164,43.768.921,27019481.0,271779.0,2001070.0,4744306.0,121.0,9732164.0,43768921.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,13.638.509,13.638.509,,,,,,13638509.0,13638509.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,681.926,1.363.851,-,(2.045.777),-,,,681926.0,1363851.0,,-2045777.0,
"Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 19(ii))","Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 19(ii))","Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 19(ii))",-,-,-,-,-,(150.000),(150.000),,,,,,-150000.0,-150000.0
Chia cổ tức bằng cổ phiếu (Thuyết minh 20.3),Chia cổ tức bằng cổ phiếu (Thuyết minh 20.3),Chia cổ tức bằng cổ phiếu (Thuyết minh 20.3),6.754.870,-,-,-,-,(6.754.870),-,6754870.0,,,,,-6754870.0,
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,33.774.351,271.779,2.682.996,6.108.157,121,14.420.026,57.257.430,33774351.0,271779.0,2682996.0,6108157.0,121.0,14420026.0,57257430.0
