row_label_raw,row_label_full,col_0,Bằng đồng Việt NamTriệu VND,Bằng ngoại tệTriệu VND,Tổng cộngTriệu VND,numeric__Bằng đồng Việt NamTriệu VND,numeric__Bằng ngoại tệTriệu VND,numeric__Tổng cộngTriệu VND
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,55.386,-,55.386,55386.0,,55386.0
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,28.629.612,33.415.130,62.044.742,28629612.0,33415130.0,62044742.0
Cam kết trong nghiệp vụ L/C trả ngay,Cam kết trong nghiệp vụ L/C trả ngay,Cam kết trong nghiệp vụ L/C trả ngay,1.938,963.507,965.445,1938.0,963507.0,965445.0
Cam kết trong nghiệp vụ L/C trả chậm,Cam kết trong nghiệp vụ L/C trả chậm,Cam kết trong nghiệp vụ L/C trả chậm,532.668,1.279.825,1.812.493,532668.0,1279825.0,1812493.0
Bảo lãnh thanh toán,Bảo lãnh thanh toán,Bảo lãnh thanh toán,2.597.066,72.515,2.669.581,2597066.0,72515.0,2669581.0
Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,1.596.063,38.800,1.634.863,1596063.0,38800.0,1634863.0
Bảo lãnh dự thầu,Bảo lãnh dự thầu,Bảo lãnh dự thầu,370.205,-,370.205,370205.0,,370205.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,4.859.382,45.698,4.905.080,4859382.0,45698.0,4905080.0
Các cam kết khác,Các cam kết khác,Các cam kết khác,6.490.910,-,6.490.910,6490910.0,,6490910.0
,,,45.133.230,35.815.475,80.948.705,45133230.0,35815475.0,80948705.0
