row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2022,Quá hạn > Tại ngày 31 tháng 12 năm 2022,Không chịu lãi suất > Tại ngày 31 tháng 12 năm 2022,Dưới 1 tháng > Tại ngày 31 tháng 12 năm 2022,Từ 1 tháng đến 3 tháng > Tại ngày 31 tháng 12 năm 2022,Từ trên 3 tháng đến 6 tháng > Tại ngày 31 tháng 12 năm 2022,Từ trên 6 tháng đến 12 tháng > Tại ngày 31 tháng 12 năm 2022,Từ trên 1 năm đến 5 năm > Tại ngày 31 tháng 12 năm 2022,Trên 5 năm > Tại ngày 31 tháng 12 năm 2022,Tổng cộng > Tại ngày 31 tháng 12 năm 2022,numeric__Quá hạn > Tại ngày 31 tháng 12 năm 2022,numeric__Không chịu lãi suất > Tại ngày 31 tháng 12 năm 2022,numeric__Dưới 1 tháng > Tại ngày 31 tháng 12 năm 2022,numeric__Từ 1 tháng đến 3 tháng > Tại ngày 31 tháng 12 năm 2022,numeric__Từ trên 3 tháng đến 6 tháng > Tại ngày 31 tháng 12 năm 2022,numeric__Từ trên 6 tháng đến 12 tháng > Tại ngày 31 tháng 12 năm 2022,numeric__Từ trên 1 năm đến 5 năm > Tại ngày 31 tháng 12 năm 2022,numeric__Trên 5 năm > Tại ngày 31 tháng 12 năm 2022,numeric__Tổng cộng > Tại ngày 31 tháng 12 năm 2022
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,8.460.883,-,-,-,-,-,-,8.460.883,,8460883.0,,,,,,,8460883.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,-,12.657.646,999.885,-,-,-,-,-,13.657.531,,12657646.0,999885.0,,,,,,13657531.0
Tiền gửi và cho vay các TCTD khác (i),Tài sản > Tiền gửi và cho vay các TCTD khác (i),Tiền gửi và cho vay các TCTD khác (i),-,50.000,54.417.682,31.210.729,-,-,-,61.000,85.739.411,,50000.0,54417682.0,31210729.0,,,,61000.0,85739411.0
Chứng khoán kinh doanh (i),Tài sản > Chứng khoán kinh doanh (i),Chứng khoán kinh doanh (i),-,644.059,-,-,-,-,-,-,644.059,,644059.0,,,,,,,644059.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,100.072,-,-,-,-,-,-,100.072,,100072.0,,,,,,,100072.0
Cho vay khách hàng (i),Tài sản > Cho vay khách hàng (i),Cho vay khách hàng (i),3.578.691,-,7.288.169,388.402.523,8.766.136,1.502.760,261.215,353.825,410.153.319,3578691.0,,7288169.0,388402523.0,8766136.0,1502760.0,261215.0,353825.0,410153319.0
Chứng khoán đầu tư (i),Tài sản > Chứng khoán đầu tư (i),Chứng khoán đầu tư (i),-,12.661,-,-,-,12.358.866,10.100.513,53.062.754,75.534.794,,12661.0,,,,12358866.0,10100513.0,53062754.0,75534794.0
"Góp vốn, đầu tư dài hạn (i)","Tài sản > Góp vốn, đầu tư dài hạn (i)","Góp vốn, đầu tư dài hạn (i)",-,3.746.467,-,-,-,-,-,-,3.746.467,,3746467.0,,,,,,,3746467.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,3.904.151,-,-,-,-,-,-,3.904.151,,3904151.0,,,,,,,3904151.0
Tài sản Có khác (i),Tài sản > Tài sản Có khác (i),Tài sản Có khác (i),174.891,9.933.308,-,-,-,-,-,-,10.108.199,174891.0,9933308.0,,,,,,,10108199.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,3.753.582,39.509.247,62.705.736,419.613.252,8.766.136,13.861.626,10.361.728,53.477.579,612.048.886,3753582.0,39509247.0,62705736.0,419613252.0,8766136.0,13861626.0,10361728.0,53477579.0,612048886.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Nợ phải trả > Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,-,-,1.666,504.210,-,-,-,-,505.876,,,1666.0,504210.0,,,,,505876.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,33.329.530,31.488.557,2.500.743,-,-,-,67.318.830,,,33329530.0,31488557.0,2500743.0,,,,67318830.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,98.052.030,95.765.728,122.238.753,43.170.201,56.527.475,-,415.754.187,,,98052030.0,95765728.0,122238753.0,43170201.0,56527475.0,,415754187.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,42.945,-,-,-,17.243,60.188,,,,42945.0,,,,17243.0,60188.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,-,12.025.276,29.770.249,2.407.096,44.202.621,,,,,,12025276.0,29770249.0,2407096.0,44202621.0
