row_label_raw,row_label_full,col_0,Năm 2022 > Miền Bắc Triệu VND,Năm 2022 > Miền Trung Triệu VND,Năm 2022 > Miền Nam Triệu VND,Năm 2022 > Loại trừ Triệu VND,Năm 2022 > Tổng cộng Triệu VND,numeric__Năm 2022 > Miền Bắc Triệu VND,numeric__Năm 2022 > Miền Trung Triệu VND,numeric__Năm 2022 > Miền Nam Triệu VND,numeric__Năm 2022 > Loại trừ Triệu VND,numeric__Năm 2022 > Tổng cộng Triệu VND
Thu nhập,Thu nhập,Thu nhập,Thu nhập,Thu nhập,Thu nhập,Thu nhập,Thu nhập,,,,,
1. Thu nhập lãi,Thu nhập > 1. Thu nhập lãi,1. Thu nhập lãi,10.360.284,7.793.123,77.448.701,(55.409.017),40.193.091,10360284.0,7793123.0,77448701.0,-55409017.0,40193091.0
Thu nhập lãi từ khách hàng bên ngoài,Thu nhập > Thu nhập lãi từ khách hàng bên ngoài,Thu nhập lãi từ khách hàng bên ngoài,5.564.179,5.643.580,28.985.332,-,40.193.091,5564179.0,5643580.0,28985332.0,,40193091.0
Thu nhập lãi từ nội bộ,Thu nhập > Thu nhập lãi từ nội bộ,Thu nhập lãi từ nội bộ,4.796.105,2.149.543,48.463.369,(55.409.017),-,4796105.0,2149543.0,48463369.0,-55409017.0,
2. Thu nhập từ hoạt động dịch vụ,Thu nhập > 2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,252.685,86.576,4.351.582,-,4.690.843,252685.0,86576.0,4351582.0,,4690843.0
3. Thu nhập từ hoạt động kinh doanh khác,Thu nhập > 3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,101.832,118.304,1.979.342,-,2.199.478,101832.0,118304.0,1979342.0,,2199478.0
Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,,,,,
1. Chi phí lãi,Chi phí > 1. Chi phí lãi,1. Chi phí lãi,(7.405.944),(5.549.408),(59.540.002),55.409.017,(17.086.337),-7405944.0,-5549408.0,-59540002.0,55409017.0,-17086337.0
Chi phí lãi khách hàng bên ngoài,Chi phí > Chi phí lãi khách hàng bên ngoài,Chi phí lãi khách hàng bên ngoài,(2.568.018),(924.384),(13.593.935),-,(17.086.337),-2568018.0,-924384.0,-13593935.0,,-17086337.0
Chi phí lãi nội bộ,Chi phí > Chi phí lãi nội bộ,Chi phí lãi nội bộ,(4.837.926),(4.625.024),(45.946.067),55.409.017,-,-4837926.0,-4625024.0,-45946067.0,55409017.0,
2. Chi phí khấu hao tài sản cố định,Chi phí > 2. Chi phí khấu hao tài sản cố định,2. Chi phí khấu hao tài sản cố định,(24.352),(22.439),(305.818),-,(352.609),-24352.0,-22439.0,-305818.0,,-352609.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,Chi phí > 3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(1.371.743),(989.498),(10.187.935),-,(12.549.176),-1371743.0,-989498.0,-10187935.0,,-12549176.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Chi phí > Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,1.912.762,1.436.658,13.745.870,-,17.095.290,1912762.0,1436658.0,13745870.0,,17095290.0
Chi phí dự phòng rủi ro,Chi phí > Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,178.354,250.364,(502.161),-,(73.443),178354.0,250364.0,-502161.0,,-73443.0
Kết quả kinh doanh bộ phận,Chi phí > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,2.091.116,1.687.022,13.243.709,-,17.021.847,2091116.0,1687022.0,13243709.0,,17021847.0
