row_label_raw,row_label_full,Ông Phạm Văn Thanh,Chủ tịch,numeric__Chủ tịch
Ông Đào Nam Hải,Ông Đào Nam Hải,Ông Đào Nam Hải,Ủy viên,
Ông Trần Ngọc Năm,Ông Trần Ngọc Năm,Ông Trần Ngọc Năm,Ủy viên,
Ông Nguyễn Anh Dũng,Ông Nguyễn Anh Dũng,Ông Nguyễn Anh Dũng,Ủy viên,
Ông Lưu Văn Tuyển,Ông Lưu Văn Tuyển,Ông Lưu Văn Tuyển,Ủy viên,
Ông Trần Tuấn Linh,Ông Trần Tuấn Linh,Ông Trần Tuấn Linh,Ủy viên (từ ngày 26/4/2024),
Ông Endo Tsuyoshi,Ông Endo Tsuyoshi,Ông Endo Tsuyoshi,Ủy viên (từ ngày 26/4/2024),
Ông Đình Thái Hương,Ông Đình Thái Hương,Ông Đình Thái Hương,Ủy viên (từ ngày 26/4/2024),
Ông Võ Văn Quyền,Ông Võ Văn Quyền,Ông Võ Văn Quyền,Ủy viên (đến ngày 25/4/2024),
Ông Ken Kimura,Ông Ken Kimura,Ông Ken Kimura,Ủy viên (đến ngày 25/4/2024),
Ông Lê Văn Hướng,Ông Lê Văn Hướng,Ông Lê Văn Hướng,Ủy viên (đến ngày 31/5/2024),
