row_label_raw,row_label_full,STT > 28,Tên đơn vị > Công ty TNHH MTV Xăng dầu Nam Tây Nguyên,"Tỷ lệ sở hữu của Tập đoàn > 31/12/2024 > 100,00%","Tỷ lệ sở hữu của Tập đoàn > 1/1/2024 > 100,00%",Giá trị đầu tư của Tập đoàn Xăng dầu Việt Nam theo giá gốc khoản đầu tư VND > 31/12/2024 > 126.511.000.000,Giá trị đầu tư của Tập đoàn Xăng dầu Việt Nam theo giá gốc khoản đầu tư VND > 1/1/2024 > 126.511.000.000,numeric__Tên đơn vị > Công ty TNHH MTV Xăng dầu Nam Tây Nguyên,"numeric__Tỷ lệ sở hữu của Tập đoàn > 31/12/2024 > 100,00%","numeric__Tỷ lệ sở hữu của Tập đoàn > 1/1/2024 > 100,00%",numeric__Giá trị đầu tư của Tập đoàn Xăng dầu Việt Nam theo giá gốc khoản đầu tư VND > 31/12/2024 > 126.511.000.000,numeric__Giá trị đầu tư của Tập đoàn Xăng dầu Việt Nam theo giá gốc khoản đầu tư VND > 1/1/2024 > 126.511.000.000
29,29,29,Công ty Xăng dầu Phú Thọ,"100,00%","100,00%",72.996.000.000,72.996.000.000,,1.0,1.0,72996000000.0,72996000000.0
30,30,30,Công ty Xăng dầu Bắc Thái,"100,00%","100,00%",120.557.000.000,120.557.000.000,,1.0,1.0,120557000000.0,120557000000.0
31,31,31,Công ty Xăng dầu Thừa Thiên Huế (iv),"100,00%","100,00%",351.456.408.182,243.456.408.182,,1.0,1.0,351456408182.0,243456408182.0
32,32,32,Công ty TNHH MTV Xăng dầu Tiền Giang,"100,00%","100,00%",86.227.000.000,86.227.000.000,,1.0,1.0,86227000000.0,86227000000.0
33,33,33,Công ty Xăng dầu Quảng Trị,"100,00%","100,00%",62.202.000.000,62.202.000.000,,1.0,1.0,62202000000.0,62202000000.0
34,34,34,Công ty Xăng dầu Quảng Bình,"100,00%","100,00%",57.644.065.636,57.644.065.636,,1.0,1.0,57644065636.0,57644065636.0
35,35,35,Công ty Xăng dầu Tuyên Quang,"100,00%","100,00%",57.125.000.000,57.125.000.000,,1.0,1.0,57125000000.0,57125000000.0
36,36,36,Công ty Xăng dầu Đồng Nai,"100,00%","100,00%",50.670.000.000,50.670.000.000,,1.0,1.0,50670000000.0,50670000000.0
37,37,37,Công ty Xăng dầu Tây Ninh,"100,00%","100,00%",52.343.000.000,52.343.000.000,,1.0,1.0,52343000000.0,52343000000.0
38,38,38,Công ty Xăng dầu Lào Cai,"100,00%","100,00%",56.133.000.000,56.133.000.000,,1.0,1.0,56133000000.0,56133000000.0
39,39,39,Công ty Xăng dầu Bến Tre,"100,00%","100,00%",44.000.000.000,44.000.000.000,,1.0,1.0,44000000000.0,44000000000.0
40,40,40,Công ty TNHH MTV Xăng dầu An Giang,"100,00%","100,00%",49.016.000.000,49.016.000.000,,1.0,1.0,49016000000.0,49016000000.0
41,41,41,Công ty Xăng dầu Hà Bắc,"100,00%","100,00%",74.581.000.000,74.581.000.000,,1.0,1.0,74581000000.0,74581000000.0
42,42,42,Công ty Xăng dầu Lâm Đồng,"100,00%","100,00%",106.467.000.000,106.467.000.000,,1.0,1.0,106467000000.0,106467000000.0
43,43,43,Công ty Xăng dầu Sông Bé – Công ty TNHH MTV,"100,00%","100,00%",38.900.000.000,38.900.000.000,,1.0,1.0,38900000000.0,38900000000.0
44,44,44,Công ty Xăng dầu Điện Biên,"100,00%","100,00%",78.588.000.000,78.588.000.000,,1.0,1.0,78588000000.0,78588000000.0
45,45,45,Công ty Xăng dầu Cao Bằng,"100,00%","100,00%",40.169.000.000,40.169.000.000,,1.0,1.0,40169000000.0,40169000000.0
46,46,46,Công ty TNHH MTV Xăng dầu Quảng Ngãi,"100,00%","100,00%",32.100.000.000,32.100.000.000,,1.0,1.0,32100000000.0,32100000000.0
47,47,47,Công ty TNHH MTV Xăng dầu Trà Vinh,"100,00%","100,00%",31.100.000.000,31.100.000.000,,1.0,1.0,31100000000.0,31100000000.0
48,48,48,Công ty Xăng dầu Đồng Tháp,"100,00%","100,00%",30.000.000.000,30.000.000.000,,1.0,1.0,30000000000.0,30000000000.0
49,49,49,Công ty Xăng dầu Yên Bái,"100,00%","100,00%",65.714.000.000,65.714.000.000,,1.0,1.0,65714000000.0,65714000000.0
50,50,50,Công ty Xăng dầu Lai Châu,"100,00%","100,00%",32.998.000.000,32.998.000.000,,1.0,1.0,32998000000.0,32998000000.0
51,51,51,Công ty Xăng dầu Thái Bình,"100,00%","100,00%",21.000.000.000,21.000.000.000,,1.0,1.0,21000000000.0,21000000000.0
52,52,52,Công ty Xăng dầu Hà Giang,"100,00%","100,00%",36.893.000.000,36.893.000.000,,1.0,1.0,36893000000.0,36893000000.0
53,53,53,Công ty TNHH MTV Xăng dầu Bắc Ninh,"100,00%","100,00%",74.886.000.000,74.886.000.000,,1.0,1.0,74886000000.0,74886000000.0
54,54,54,Công ty TNHH MTV Xăng dầu Hải Dương,"100,00%","100,00%",55.300.000.000,55.300.000.000,,1.0,1.0,55300000000.0,55300000000.0
