row_label_raw,row_label_full,col_0,Kinh doanh xăng dầu,Kinh doanh xăng dầu_1,Khối kinh doanh các sản phẩm hóa dầu,Khối kinh doanh các sản phẩm gas,Khối kinh doanh dịch vụ vận tải,"Khối kinh doanh hàng hóa, dịch vụ khác",Loại trừ nội bộ và điều chỉnh hợp nhất,Tổng công,numeric__Kinh doanh xăng dầu,numeric__Kinh doanh xăng dầu_1,numeric__Khối kinh doanh các sản phẩm hóa dầu,numeric__Khối kinh doanh các sản phẩm gas,numeric__Khối kinh doanh dịch vụ vận tải,"numeric__Khối kinh doanh hàng hóa, dịch vụ khác",numeric__Loại trừ nội bộ và điều chỉnh hợp nhất,numeric__Tổng công
,,,Khối xăng dầu thành viên,Các công ty con không thuộc khối xăng dầu thành viên,Khối kinh doanh các sản phẩm hóa dầu,Khối kinh doanh các sản phẩm gas,Khối kinh doanh dịch vụ vận tải,"Khối kinh doanh hàng hóa, dịch vụ khác",Loại trừ nội bộ và điều chỉnh hợp nhất,Tổng công,,,,,,,,
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Tổng doanh thu thuần,Tổng doanh thu thuần,Tổng doanh thu thuần,196.197.573.553.687,129.868.124.487.727,6.931.744.246.143,4.289.789.849.559,10.398.176.175.587,3.079.602.874.291,(66.747.586.647.834),284.017.424.539.160,196197573553687.0,129868124487727.0,6931744246143.0,4289789849559.0,10398176175587.0,3079602874291.0,-66747586647834.0,284017424539160.0
Trong đó: Doanh thu nổi bộ,Trong đó: Doanh thu nổi bộ,Trong đó: Doanh thu nổi bộ,7.243.819.480.815,50.807.214.196.889,1.419.558.774.521,1.182.170.923.149,4.738.262.769.363,417.988.018.551,(66.747.586.647.834),(938.572.484.546),7243819480815.0,50807214196889.0,1419558774521.0,1182170923149.0,4738262769363.0,417988018551.0,-66747586647834.0,-938572484546.0
Doanh thu thuần bản ra bên ngoài,Doanh thu thuần bản ra bên ngoài,Doanh thu thuần bản ra bên ngoài,188.953.754.072.872,79.060.910.290.838,5.512.185.471.622,3.107.618.926.410,5.659.913.406.224,2.661.614.855.740,-,284.955.997.023.706,188953754072872.0,79060910290838.0,5512185471622.0,3107618926410.0,5659913406224.0,2661614855740.0,,284955997023706.0
Chi phí kinh doanh,Chi phí kinh doanh,Chi phí kinh doanh,(194.162.563.062.420),(129.619.173.163.245),(6.791.560.173.002),(4.182.681.580.757),(10.082.784.003.544),(3.043.242.360.815),66.657.503.172.151,(281.224.501.171.632),-194162563062420.0,-129619173163245.0,-6791560173002.0,-4182681580757.0,-10082784003544.0,-3043242360815.0,66657503172151.0,-281224501171632.0
Già vốn hàng bản và dịch vụ cung cấp,Già vốn hàng bản và dịch vụ cung cấp,Già vốn hàng bản và dịch vụ cung cấp,(181.401.792.024.826),(127.939.621.760.969),(6.109.063.760.422),(3.549.704.551.529),(9.274.031.550.221),(2.683.751.734.657),64.291.850.768.925,(266.666.114.613.699),-181401792024826.0,-127939621760969.0,-6109063760422.0,-3549704551529.0,-9274031550221.0,-2683751734657.0,64291850768925.0,-266666114613699.0
Chi phí bản hàng,Chi phí bản hàng,Chi phí bản hàng,(12.760.771.037.594),(1.660.120.958.311),(571.820.416.809),(417.606.469.540),(236.007.754.123),(237.016.992.996),2.365.652.403.226,(13.517.691.226.147),-12760771037594.0,-1660120958311.0,-571820416809.0,-417606469540.0,-236007754123.0,-237016992996.0,2365652403226.0,-13517691226147.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,-,(19.430.443.965),(110.675.995.771),(215.370.559.688),(572.744.699.200),(122.473.633.162),-,(1.040.695.331.786),,-19430443965.0,-110675995771.0,-215370559688.0,-572744699200.0,-122473633162.0,,-1040695331786.0
Lợi nhuận từ hoạt động kinh doanh (trước hoạt động tài chính),Lợi nhuận từ hoạt động kinh doanh (trước hoạt động tài chính),Lợi nhuận từ hoạt động kinh doanh (trước hoạt động tài chính),2.035.010.491.267,248.951.324.482,140.184.073.141,107.108.268.802,315.392.172.043,36.360.513.476,(90.083.475.683),2.792.923.367.528,2035010491267.0,248951324482.0,140184073141.0,107108268802.0,315392172043.0,36360513476.0,-90083475683.0,2792923367528.0
"Phần lãi trong công ty liên doanh, liên kết","Phần lãi trong công ty liên doanh, liên kết","Phần lãi trong công ty liên doanh, liên kết",,,,,,,,528.005.384.335,,,,,,,,528005384335.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,,1.635.278.874.392,,,,,,,,1635278874392.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,,,(1.196.075.118.805),,,,,,,,-1196075118805.0
Kết quả từ các hoạt động khác,Kết quả từ các hoạt động khác,Kết quả từ các hoạt động khác,,,,,,,,212.047.772.005,,,,,,,,212047772005.0
Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,,,,,,,,3.972.180.279.455,,,,,,,,3972180279455.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,,,,,(799.607.413.938),,,,,,,,-799607413938.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,,,,,(11.420.925.002),,,,,,,,-11420925002.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,,,,3.161.151.940.515,,,,,,,,3161151940515.0
