row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận chuyểnVND,"Thiết bị,dụng cụ quản lýVND",Tài sản cố định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận chuyểnVND,"numeric__Thiết bị,dụng cụ quản lýVND",numeric__Tài sản cố định khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,16.033.393.301.681,5.379.419.020.262,13.613.407.972.204,956.957.145.112,60.825.228.966,36.044.002.668.225,16033393301681.0,5379419020262.0,13613407972204.0,956957145112.0,60825228966.0,36044002668225.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,56.252.066.150,195.796.978.494,220.094.653.141,29.689.531.468,1.062.638.525,502.895.867.778,56252066150.0,195796978494.0,220094653141.0,29689531468.0,1062638525.0,502895867778.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,955.277.215.220,215.863.066.813,101.930.791.951,71.514.578.773,6.314.527.491,1.350.900.180.248,955277215220.0,215863066813.0,101930791951.0,71514578773.0,6314527491.0,1350900180248.0
Chuyển sang bất động sản đầu tư,Nguyên giá > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(3.749.274.130),-,-,-,-,(3.749.274.130),-3749274130.0,,,,,-3749274130.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,10.745.800.562,(11.789.268.148),5.485.050.623,(1.924.492.725),(2.517.090.312),-,10745800562.0,-11789268148.0,5485050623.0,-1924492725.0,-2517090312.0,
Thanh lý và xóa sổ,Nguyên giá > Thanh lý và xóa sổ,Thanh lý và xóa sổ,(97.345.110.386),(65.386.084.165),(89.580.223.633),(23.363.876.283),(1.992.703.695),(277.667.998.162),-97345110386.0,-65386084165.0,-89580223633.0,-23363876283.0,-1992703695.0,-277667998162.0
Chênh lệch tỷ giá quy đổi tiền tệ báo cáo,Nguyên giá > Chênh lệch tỷ giá quy đổi tiền tệ báo cáo,Chênh lệch tỷ giá quy đổi tiền tệ báo cáo,(164.959.413),7.457.694,118.330.289,(11.364.237),79.810.030,29.274.363,-164959413.0,7457694.0,118330289.0,-11364237.0,79810030.0,29274363.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,16.954.409.039.684,5.713.911.170.950,13.851.456.574.575,1.032.861.522.108,63.772.411.005,37.616.410.718.322,16954409039684.0,5713911170950.0,13851456574575.0,1032861522108.0,63772411005.0,37616410718322.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
