row_label_raw,row_label_full,Ông Đăng Quang Tuấn,Trường ban,numeric__Trường ban
Bà Đình Thị Kiều Trang,Bà Đình Thị Kiều Trang,Bà Đình Thị Kiều Trang,Kiểm soát viên,
Bà Hoàng Mai Ninh,Bà Hoàng Mai Ninh,Bà Hoàng Mai Ninh,Kiểm soát viên,
Ông Okuma Atsushi,Ông Okuma Atsushi,Ông Okuma Atsushi,Kiểm soát viên (từ ngày 26/4/2024),
Ông Mai Việt Dũng,Ông Mai Việt Dũng,Ông Mai Việt Dũng,Kiểm soát viên (từ ngày 26/4/2024),
Ông Norimasa Kuroda,Ông Norimasa Kuroda,Ông Norimasa Kuroda,Kiểm soát viên (đến ngày 25/4/2024),
