row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Bản quyền phần mềm VND,Phần mềm máy vi tính VND,Tài sản cố định vô hình khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Bản quyền phần mềm VND,numeric__Phần mềm máy vi tính VND,numeric__Tài sản cố định vô hình khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.503.361.955.345,16.689.283.200,665.175.896.630,53.261.843.726,3.238.488.978.901,2503361955345.0,16689283200.0,665175896630.0,53261843726.0,3238488978901.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,27.519.386.162,352.939.000,25.080.460.627,3.260.569.079,56.213.354.868,27519386162.0,352939000.0,25080460627.0,3260569079.0,56213354868.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,19.373.665.961,-,16.221.569.868,9.166.867.250,44.762.103.079,19373665961.0,,16221569868.0,9166867250.0,44762103079.0
Chuyển từ bất động sản đầu tư,Nguyên giá > Chuyển từ bất động sản đầu tư,Chuyển từ bất động sản đầu tư,6.957.405.470,-,-,-,6.957.405.470,6957405470.0,,,,6957405470.0
Thanh lý và xóa số,Nguyên giá > Thanh lý và xóa số,Thanh lý và xóa số,(397.036.501),(328.407.000),(8.538.648.435),(13.015.069.525),(22.279.161.461),-397036501.0,-328407000.0,-8538648435.0,-13015069525.0,-22279161461.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.556.815.376.437,16.713.815.200,697.939.278.690,52.674.210.530,3.324.142.680.857,2556815376437.0,16713815200.0,697939278690.0,52674210530.0,3324142680857.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,291.060.620.578,14.486.712.343,552.000.108.577,36.674.311.698,894.221.753.196,291060620578.0,14486712343.0,552000108577.0,36674311698.0,894221753196.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,23.545.752.503,583.369.525,34.413.038.591,4.145.315.915,62.687.476.534,23545752503.0,583369525.0,34413038591.0,4145315915.0,62687476534.0
Chuyển từ bất động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển từ bất động sản đầu tư,Chuyển từ bất động sản đầu tư,2.203.050.001,-,-,-,2.203.050.001,2203050001.0,,,,2203050001.0
Thanh lý và xóa số,Giá trị hao mòn lũy kế > Thanh lý và xóa số,Thanh lý và xóa số,(234.436.903),(327.511.230),(8.188.016.107),(13.015.069.525),(21.765.033.765),-234436903.0,-327511230.0,-8188016107.0,-13015069525.0,-21765033765.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,316.574.986.179,14.742.570.638,578.225.131.061,27.804.558.088,937.347.245.966,316574986179.0,14742570638.0,578225131061.0,27804558088.0,937347245966.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.212.301.334.767,2.202.570.857,113.175.788.053,16.587.532.028,2.344.267.225.705,2212301334767.0,2202570857.0,113175788053.0,16587532028.0,2344267225705.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.240.240.390.258,1.971.244.562,119.714.147.629,24.869.652.442,2.386.795.434.891,2240240390258.0,1971244562.0,119714147629.0,24869652442.0,2386795434891.0
