row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Vốn khác VND,Cổ phiếu quỹ VND,Chênh lệch đánh giá lại tài sản VND,Chênh lệch tỷ giá hối doái VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tầng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch đánh giá lại tài sản VND,numeric__Chênh lệch tỷ giá hối doái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tầng cộng VND
Số dư tại ngày 1/1/2023,Số dư tại ngày 1/1/2023,Số dư tại ngày 1/1/2023,12.938.780.810.000,7.359.059.317.417,1.109.578.156.236,(232.858.460.000),(1.294.725.514.734),89.957.394.846,1.692.508.912.473,124.605.772.427,2.706.196.720.866,3.289.507.534.688,27.782.610.644.219,12938780810000.0,7359059317417.0,1109578156236.0,-232858460000.0,-1294725514734.0,89957394846.0,1692508912473.0,124605772427.0,2706196720866.0,3289507534688.0,27782610644219.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,-,2.833.906.727.712,243.413.215.688,3.077.319.943.400,,,,,,,,,2833906727712.0,243413215688.0,3077319943400.0
Công ty con tăng vốn,Công ty con tăng vốn,Công ty con tăng vốn,-,-,2.490.038.145,-,-,-,(2.490.038.145),-,-,-,-,,,2490038145.0,,,,-2490038145.0,,,,
Cổ tức (Thuyết minh 26),Cổ tức (Thuyết minh 26),Cổ tức (Thuyết minh 26),-,-,-,-,-,-,-,-,(889.414.564.500),(205.578.646.937),(1.094.993.211.437),,,,,,,,,-889414564500.0,-205578646937.0,-1094993211437.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,-,-,-,161.062.430.777,15.573.077,(161.078.003.854),-,-,,,,,,,161062430777.0,15573077.0,-161078003854.0,,
"Phân bổ vào quỹ khen thưởng, phúc lợi (Thuyết minh 21)","Phân bổ vào quỹ khen thưởng, phúc lợi (Thuyết minh 21)","Phân bổ vào quỹ khen thưởng, phúc lợi (Thuyết minh 21)",-,-,-,-,-,-,-,-,(542.946.448.837),(67.296.257.179),(610.242.706.016),,,,,,,,,-542946448837.0,-67296257179.0,-610242706016.0
Chênh lệch tỷ giá hối doái phát sinh do việc quy đổi các hoạt động ở nước ngoài,Chênh lệch tỷ giá hối doái phát sinh do việc quy đổi các hoạt động ở nước ngoài,Chênh lệch tỷ giá hối doái phát sinh do việc quy đổi các hoạt động ở nước ngoài,-,-,-,-,-,49.503.861.281,(349.037.460),(1.023.539.640),-,-,48.131.284.181,,,,,,49503861281.0,-349037460.0,-1023539640.0,,,48131284181.0
Công ty liên kết trích quỹ từ lợi nhuận chưa phân phối,Công ty liên kết trích quỹ từ lợi nhuận chưa phân phối,Công ty liên kết trích quỹ từ lợi nhuận chưa phân phối,-,-,-,-,-,-,19.137.044.510,11.705.845.601,(30.842.890.111),-,-,,,,,,,19137044510.0,11705845601.0,-30842890111.0,,
Thanh lý các công ty liên kết,Thanh lý các công ty liên kết,Thanh lý các công ty liên kết,-,-,(145.251.942.976),-,14.757.925.515,-,(100.412.237.837),(51.040.491.239),281.946.746.537,-,-,,,-145251942976.0,,14757925515.0,,-100412237837.0,-51040491239.0,281946746537.0,,
Các biến động khác về vốn chủ sở hữu,Các biến động khác về vốn chủ sở hữu,Các biến động khác về vốn chủ sở hữu,-,-,16.264.367,-,-,-,-,(74.157.510),(3.186.654.891),2.525.772.518,(718.775.516),,,16264367.0,,,,,-74157510.0,-3186654891.0,2525772518.0,-718775516.0
Số dư tại ngày 1/1/2024,Số dư tại ngày 1/1/2024,Số dư tại ngày 1/1/2024,12.938.780.810.000,7.359.059.317.417,966.832.515.772,(232.858.460.000),(1.279.967.589.219),139.461.256.127,1.769.457.074.318,84.189.002.716,4.194.581.632.922,3.262.571.618.778,29.202.107.178.831,12938780810000.0,7359059317417.0,966832515772.0,-232858460000.0,-1279967589219.0,139461256127.0,1769457074318.0,84189002716.0,4194581632922.0,3262571618778.0,29202107178831.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,-,2.889.803.702.540,271.348.237.975,3.161.151.940.515,,,,,,,,,2889803702540.0,271348237975.0,3161151940515.0
Công ty con phát hành cổ phiếu,Công ty con phát hành cổ phiếu,Công ty con phát hành cổ phiếu,-,-,-,-,-,-,-,-,-,8.979.060.000,8.979.060.000,,,,,,,,,,8979060000.0,8979060000.0
Cổ tức (Thuyết minh 26),Cổ tức (Thuyết minh 26),Cổ tức (Thuyết minh 26),-,-,-,-,-,-,-,-,(1.905.888.352.500),(192.522.078.227),(2.098.410.430.727),,,,,,,,,-1905888352500.0,-192522078227.0,-2098410430727.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,-,-,-,320.415.522.574,385.091,(320.415.907.665),-,-,,,,,,,320415522574.0,385091.0,-320415907665.0,,
"Phân bổ vào quỹ khen thưởng, phúc lợi (Thuyết minh 21)","Phân bổ vào quỹ khen thưởng, phúc lợi (Thuyết minh 21)","Phân bổ vào quỹ khen thưởng, phúc lợi (Thuyết minh 21)",-,-,-,-,-,-,-,-,(920.458.888.300),(65.057.130.747),(985.516.019.047),,,,,,,,,-920458888300.0,-65057130747.0,-985516019047.0
Chênh lệch tỷ giá hối doái phát sinh do việc quy đổi các hoạt động ở nước ngoài,Chênh lệch tỷ giá hối doái phát sinh do việc quy đổi các hoạt động ở nước ngoài,Chênh lệch tỷ giá hối doái phát sinh do việc quy đổi các hoạt động ở nước ngoài,-,-,-,-,-,23.184.844.714,(6.815.748),(20.037.675),-,-,23.157.991.291,,,,,,23184844714.0,-6815748.0,-20037675.0,,,23157991291.0
Công ty liên kết trích quỹ từ lợi nhuận chưa phân phối,Công ty liên kết trích quỹ từ lợi nhuận chưa phân phối,Công ty liên kết trích quỹ từ lợi nhuận chưa phân phối,-,-,-,-,-,-,5.527.326.254,-,(5.527.326.254),-,-,,,,,,,5527326254.0,,-5527326254.0,,
Các biến động khác về vốn chủ sở hữu,Các biến động khác về vốn chủ sở hữu,Các biến động khác về vốn chủ sở hữu,-,-,-,-,-,-,-,(1.833.764),(3.285.501.078),(207.942.548),(3.495.277.390),,,,,,,,-1833764.0,-3285501078.0,-207942548.0,-3495277390.0
Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,12.938.780.810.000,7.359.059.317.417,966.832.515.772,(232.858.460.000),(1.279.967.589.219),162.646.100.841,2.095.393.107.398,84.167.516.368,3.928.809.359.665,3.285.111.765.231,29.307.974.443.473,12938780810000.0,7359059317417.0,966832515772.0,-232858460000.0,-1279967589219.0,162646100841.0,2095393107398.0,84167516368.0,3928809359665.0,3285111765231.0,29307974443473.0
