row_label_raw,row_label_full,col_0,Giá trị giao dịch,Giá trị giao dịch_1,numeric__Giá trị giao dịch,numeric__Giá trị giao dịch_1
,,,2024VND,2023VND,,
"Các công ty liên doanh, liên kết","Các công ty liên doanh, liên kết","Các công ty liên doanh, liên kết","Các công ty liên doanh, liên kết","Các công ty liên doanh, liên kết",,
Công ty TNHH Castrol BP-PETCO Việt Nam,Công ty TNHH Castrol BP-PETCO Việt Nam,Công ty TNHH Castrol BP-PETCO Việt Nam,Công ty TNHH Castrol BP-PETCO Việt Nam,Công ty TNHH Castrol BP-PETCO Việt Nam,,
Cổ tức được chia,Công ty TNHH Castrol BP-PETCO Việt Nam > Cổ tức được chia,Cổ tức được chia,218.073.161.719,408.862.659.033,218073161719.0,408862659033.0
Mua hàng hóa,Công ty TNHH Castrol BP-PETCO Việt Nam > Mua hàng hóa,Mua hàng hóa,51.554.594.900,54.505.280.706,51554594900.0,54505280706.0
Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,,
Mua dịch vụ,Tổng Công ty Cổ phần Bảo hiểm Petrolimex > Mua dịch vụ,Mua dịch vụ,602.725.266.732,600.144.778.236,602725266732.0,600144778236.0
Cổ tức được chia,Tổng Công ty Cổ phần Bảo hiểm Petrolimex > Cổ tức được chia,Cổ tức được chia,54.492.480.000,-,54492480000.0,
Công ty Cổ phần Thương mại Kiên Giang,Công ty Cổ phần Thương mại Kiên Giang,Công ty Cổ phần Thương mại Kiên Giang,Công ty Cổ phần Thương mại Kiên Giang,Công ty Cổ phần Thương mại Kiên Giang,,
"Bán hàng hóa, dịch vụ","Công ty Cổ phần Thương mại Kiên Giang > Bán hàng hóa, dịch vụ","Bán hàng hóa, dịch vụ",77.556.053.802,86.982.959.953,77556053802.0,86982959953.0
Mua hàng hóa,Công ty Cổ phần Thương mại Kiên Giang > Mua hàng hóa,Mua hàng hóa,-,5.227.273,,5227273.0
Cổ tức được chia,Công ty Cổ phần Thương mại Kiên Giang > Cổ tức được chia,Cổ tức được chia,4.260.711.600,2.840.474.400,4260711600.0,2840474400.0
Công ty Cổ phần Cơ khí Xăng dầu,Công ty Cổ phần Cơ khí Xăng dầu,Công ty Cổ phần Cơ khí Xăng dầu,Công ty Cổ phần Cơ khí Xăng dầu,Công ty Cổ phần Cơ khí Xăng dầu,,
"Bán hàng hóa, dịch vụ","Công ty Cổ phần Cơ khí Xăng dầu > Bán hàng hóa, dịch vụ","Bán hàng hóa, dịch vụ",498.824.997.000,691.330.044.000,498824997000.0,691330044000.0
Mua hàng hóa,Công ty Cổ phần Cơ khí Xăng dầu > Mua hàng hóa,Mua hàng hóa,141.114.406.545,187.214.049.864,141114406545.0,187214049864.0
Cổ tức được chia,Công ty Cổ phần Cơ khí Xăng dầu > Cổ tức được chia,Cổ tức được chia,11.560.227.168,9.143.411.750,11560227168.0,9143411750.0
