row_label_raw,row_label_full,STT,Tên công ty,Địa chỉ,Hoạt động chính,Tỷ lệ biểu quyết,Tỷ lệ sở hữu,31/12/2024Giá trị đầu tư theo phương pháp vốn chủ VND,Dự phòng VND,Giá trị hợp lý VND,Tỷ lệ biểu quyết_1,Tỷ lệ sở hữu_1,1/1/2024Giá trị đầu tư theo phương pháp vốn chủ VND,Dự phòng VND_1,Giá trị hợp lý VND_1,numeric__Tên công ty,numeric__Địa chỉ,numeric__Hoạt động chính,numeric__Tỷ lệ biểu quyết,numeric__Tỷ lệ sở hữu,numeric__31/12/2024Giá trị đầu tư theo phương pháp vốn chủ VND,numeric__Dự phòng VND,numeric__Giá trị hợp lý VND,numeric__Tỷ lệ biểu quyết_1,numeric__Tỷ lệ sở hữu_1,numeric__1/1/2024Giá trị đầu tư theo phương pháp vốn chủ VND,numeric__Dự phòng VND_1,numeric__Giá trị hợp lý VND_1
Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,,,,,,,,,,,,,
1,Công ty liên doanh > 1,1,Công ty TNHH Castrol BP-PETCO Việt Nam,TP. Hồ Chí Minh,Chế biến các sản phẩm dấu nhôn,"35,00%","35,00%",453.231.048.953,,-,(*),"35,00%","35,00%",270.767.712.294,,,,,0.35,0.35,453231048953.0,,,,0.35,0.35,270767712294.0,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,,,,,,,,
1,Công ty liên kết > 1,1,Tổng Công ty Cổ phần Bao hiểm Petrolimex (i),Hà Nội,Kinh doanh bảo hiểm,"40,95%","40,95%",781.072.554.216,-,1.035.353.198.400,"40,95%","40,95%",763.562.795.578,,1.076.222.403.600,,,,0.40950000000000003,0.40950000000000003,781072554216.0,,1035353198400.0,0.40950000000000003,0.40950000000000003,763562795578.0,,1076222403600.0
2,Công ty liên kết > 2,2,Công ty Cổ phần Thương mại Kiên Giang,Kiên Giang,"Nông sản, xăng dấu","38,94%","38,94%",159.647.370.102,,-,(*),"38,94%",157.896.610.137,,(*),,,,0.38939999999999997,0.38939999999999997,159647370102.0,,,,0.38939999999999997,157896610137.0,,
3,Công ty liên kết > 3,3,Công ty Cổ phần Dịch vụ Dương cao tốc Việt Nam,,"Đầu tư, xây dựng, khai thác, quản lý và bảo trì hệ thốngdrống cao tốc quốc gia","22,38%","22,38%",20.049.644.785,,-,(*),"22,38%",19.657.879.606,,(*),,,,0.2238,0.2238,20049644785.0,,,,0.2238,19657879606.0,,
4,Công ty liên kết > 4,4,Công ty Cổ phần Cơ khi Xăng dấu,Hà Nội,"Kinh doanh các loại vấttr, thiết bị xăng dấu","46,00%","46,00%",72.576.937.668,,-,(*),"46,00%",82.443.278.359,,(*),,,,0.46,0.46,72576937668.0,,,,0.46,82443278359.0,,
5,Công ty liên kết > 5,5,Công ty Cổ phần Tập đoàn Xây lắp 1 - Petrolimex,Hà Nội,Xây lắp,"30,00%","30,00%",69.767.760.031,,-,(*),"30,00%",70.001.485.273,,(*),,,,0.3,0.3,69767760031.0,,,,0.3,70001485273.0,,
6,Công ty liên kết > 6,6,Công ty Cổ phần Xây lắp 111 - Petrolimex,TP. Hồ Chí Minh,Xây lắp,"30,00%","30,00%",21.036.981.200,,-,(*),"30,00%",20.733.852.679,,(*),,,,0.3,0.3,21036981200.0,,,,0.3,20733852679.0,,
7,Công ty liên kết > 7,7,Công ty Cổ phần Thương mại Dịch vụ Sửa chữa Ô tô Việt Nam (ii),Hà Nội,Mua bản hàng hóa,"20,42%","20,42%",1.800.000.000,(677.914.822),,(*),"20,42%",1.800.000.000,(565.644.022),,,,,0.20420000000000002,0.20420000000000002,1800000000.0,-677914822.0,,,0.20420000000000002,1800000000.0,-565644022.0,
,,,,,,,,1.579.182.296.955,(677.914.822),,,,1.386.863.613.926,(565.644.022),,,,,,,1579182296955.0,-677914822.0,,,,1386863613926.0,-565644022.0,
