row_label_raw,row_label_full,col_0,1/1/2024 > Giá trị ghi sổ và số có khả năng trả nợ VND,1/1/2024 > Tăng VND,Biến động trong năm > Giảm VND,Biến động trong năm > Chênh lệch tỷ giá VND,31/12/2024 > Giá trị ghi sổ và số có khả năng trả nợ VND,31/12/2024,numeric__1/1/2024 > Giá trị ghi sổ và số có khả năng trả nợ VND,numeric__1/1/2024 > Tăng VND,numeric__Biến động trong năm > Giảm VND,numeric__Biến động trong năm > Chênh lệch tỷ giá VND,numeric__31/12/2024 > Giá trị ghi sổ và số có khả năng trả nợ VND,numeric__31/12/2024
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,18.948.764.868.737,71.359.985.950.999,(73.112.750.249.705),23.299.729.940,17.219.300.299.971,,18948764868737.0,71359985950999.0,-73112750249705.0,23299729940.0,17219300299971.0,
Vay dài hạn đến hạn trả (Thuyết minh 20(b)),Vay dài hạn đến hạn trả (Thuyết minh 20(b)),Vay dài hạn đến hạn trả (Thuyết minh 20(b)),186.558.947.671,163.969.344.017,(186.558.947.671),1.252.561.275,165.221.905.292,,186558947671.0,163969344017.0,-186558947671.0,1252561275.0,165221905292.0,
,,,19.135.323.816.408,71.523.955.295.016,(73.299.309.197.376),24.552.291.215,17.384.522.205.263,,19135323816408.0,71523955295016.0,-73299309197376.0,24552291215.0,17384522205263.0,
