row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số Thuyết minh,Mã số Thuyết minh_1,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số Thuyết minh,numeric__Mã số Thuyết minh_1,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGẮN HẠN,100,,6.934.016.769.710,7.034.988.878.057,,100.0,,6934016769710.0,7034988878057.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,552.339.512.408,544.515.759.978,,110.0,4.0,552339512408.0,544515759978.0
1.,1.,1.,Tiền,111,,139.889.470.204,237.736.198.238,,111.0,,139889470204.0,237736198238.0
2.,2.,2.,Các khoản tương đương tiền,112,,412.450.042.204,306.779.561.740,,112.0,,412450042204.0,306779561740.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,4.173.210.173.033,3.792.298.899.815,,120.0,,4173210173033.0,3792298899815.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,5,4.173.210.173.033,3.792.298.899.815,,123.0,5.0,4173210173033.0,3792298899815.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,987.901.715.337,984.461.439.852,,130.0,,987901715337.0,984461439852.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,,1.104.878.330.971,1.030.757.280.393,,131.0,,1104878330971.0,1030757280393.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,,53.922.433.156,34.198.599.975,,132.0,,53922433156.0,34198599975.0
3.,3.,3.,Phải thu ngắn hạn khác,136,6,85.195.938.979,83.144.533.006,,136.0,6.0,85195938979.0,83144533006.0
4.,4.,4.,Dự phòng phải thu ngắn hạn khó đòi,137,7,(256.094.987.769),(163.638.973.522),,137.0,7.0,-256094987769.0,-163638973522.0
IV.,IV.,IV.,Hàng tồn kho,140,8,656.730.226.675,840.230.882.411,,140.0,8.0,656730226675.0,840230882411.0
1.,1.,1.,Hàng tồn kho,141,,687.009.461.752,871.432.497.505,,141.0,,687009461752.0,871432497505.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(30.279.235.077),(31.201.615.094),,149.0,,-30279235077.0,-31201615094.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,563.835.142.257,873.481.896.001,,150.0,,563835142257.0,873481896001.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,9,522.718.672.233,825.862.917.567,,151.0,9.0,522718672233.0,825862917567.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,31.603.264.829,38.089.795.253,,152.0,,31603264829.0,38089795253.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,10,9.513.205.195,9.529.183.181,,153.0,10.0,9513205195.0,9529183181.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,6.396.937.784.842,4.688.851.687.361,,200.0,,6396937784842.0,4688851687361.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,25.876.472.143,22.061.326.376,,210.0,,25876472143.0,22061326376.0
1.,1.,1.,Phải thu dài hạn khác,216,,28.233.163.324,24.418.017.557,,216.0,,28233163324.0,24418017557.0
2.,2.,2.,Dự phòng phải thu dài hạn khó đòi,219,,(2.356.691.181),(2.356.691.181),,219.0,,-2356691181.0,-2356691181.0
II.,II.,II.,Tài sản cố định,220,,4.791.798.509.796,4.089.813.421.798,,220.0,,4791798509796.0,4089813421798.0
1.,1.,1.,Tài sản cố định hữu hình,221,11,4.167.162.580.730,3.507.729.511.417,,221.0,11.0,4167162580730.0,3507729511417.0
,,,- Nguyên giá,222,,8.115.948.225.407,6.862.152.696.351,,222.0,,8115948225407.0,6862152696351.0
,,,- Giá trị hao mòn lũy kế,223,,(3.948.785.644.677),(3.354.423.184.934),,223.0,,-3948785644677.0,-3354423184934.0
2.,2.,2.,Tài sản cố định vô hình,227,12,624.635.929.066,582.083.910.381,,227.0,12.0,624635929066.0,582083910381.0
,,,- Nguyên giá,228,,894.175.259.589,789.199.601.226,,228.0,,894175259589.0,789199601226.0
,,,- Giá trị hao mòn lũy kế,229,,(269.539.330.523),(207.115.690.845),,229.0,,-269539330523.0,-207115690845.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,128.114.918.230,48.949.699.336,,240.0,,128114918230.0,48949699336.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,13,128.114.918.230,48.949.699.336,,242.0,13.0,128114918230.0,48949699336.0
IV.,IV.,IV.,Đầu tư tài chính dài hạn,250,,6.000.000.000,6.000.000.000,,250.0,,6000000000.0,6000000000.0
1.,1.,1.,Đầu tư góp vốn vào đơn vị khác,253,5,9.684.980.000,9.684.980.000,,253.0,5.0,9684980000.0,9684980000.0
2.,2.,2.,Dự phòng đầu tư tài chính dài hạn,254,5,(3.684.980.000),(3.684.980.000),,254.0,5.0,-3684980000.0,-3684980000.0
V.,V.,V.,Tài sản dài hạn khác,260,,1.445.147.884.673,522.027.239.851,,260.0,,1445147884673.0,522027239851.0
1.,1.,1.,Chi phí trả trước dài hạn,261,9,1.441.568.408.708,518.447.763.886,,261.0,9.0,1441568408708.0,518447763886.0
2.,2.,2.,Tài sản thuê thu nhập hoãn lại,262,,3.579.475.965,3.579.475.965,,262.0,,3579475965.0,3579475965.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,13.330.954.554.552,11.723.840.565.418,,270.0,,13330954554552.0,11723840565418.0
