row_label_raw,row_label_full,col_0,Năm nayVND,Năm trướcVND,numeric__Năm nayVND,numeric__Năm trướcVND
Công ty Cổ phần FPT,Công ty Cổ phần FPT,Công ty Cổ phần FPT,Công ty Cổ phần FPT,Công ty Cổ phần FPT,,
Chia cổ tức bằng cổ phiếu,Công ty Cổ phần FPT > Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,103.242.050.000,344.140.170.000,103242050000.0,344140170000.0
Chia cổ tức bằng tiền,Công ty Cổ phần FPT > Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,184.104.348.000,103.242.052.000,184104348000.0,103242052000.0
Bán hàng hóa và dịch vụ,Công ty Cổ phần FPT > Bán hàng hóa và dịch vụ,Bán hàng hóa và dịch vụ,23.139.645.835,20.858.991.975,23139645835.0,20858991975.0
"Mua tài sản cổ định, hàng hóa và dịch vụ","Công ty Cổ phần FPT > Mua tài sản cổ định, hàng hóa và dịch vụ","Mua tài sản cổ định, hàng hóa và dịch vụ",306.376.641.520,54.528.975.142,306376641520.0,54528975142.0
Các công ty liên quan,Các công ty liên quan,Các công ty liên quan,Các công ty liên quan,Các công ty liên quan,,
Công ty Cổ phần Synnex FPT (FTG),Công ty Cổ phần Synnex FPT (FTG),Công ty Cổ phần Synnex FPT (FTG),Công ty Cổ phần Synnex FPT (FTG),Công ty Cổ phần Synnex FPT (FTG),,
Bán hàng hóa và dịch vụ,Công ty Cổ phần Synnex FPT (FTG) > Bán hàng hóa và dịch vụ,Bán hàng hóa và dịch vụ,6.084.813.533,7.282.620.433,6084813533.0,7282620433.0
"Mua tài sản cổ định, hàng hóa và dịch vụ","Công ty Cổ phần Synnex FPT (FTG) > Mua tài sản cổ định, hàng hóa và dịch vụ","Mua tài sản cổ định, hàng hóa và dịch vụ",304.739.909.820,243.226.907.959,304739909820.0,243226907959.0
Công ty TNHH Phần mềm FPT (FSO),Công ty TNHH Phần mềm FPT (FSO),Công ty TNHH Phần mềm FPT (FSO),Công ty TNHH Phần mềm FPT (FSO),Công ty TNHH Phần mềm FPT (FSO),,
Bán hàng hóa và dịch vụ,Công ty TNHH Phần mềm FPT (FSO) > Bán hàng hóa và dịch vụ,Bán hàng hóa và dịch vụ,33.179.526.958,44.077.037.665,33179526958.0,44077037665.0
"Mua tài sản cổ định, hàng hóa và dịch vụ","Công ty TNHH Phần mềm FPT (FSO) > Mua tài sản cổ định, hàng hóa và dịch vụ","Mua tài sản cổ định, hàng hóa và dịch vụ",608.328.611,1.085.885.614,608328611.0,1085885614.0
Công ty TNHH Hệ thống Thông tin FPT (FIS),Công ty TNHH Hệ thống Thông tin FPT (FIS),Công ty TNHH Hệ thống Thông tin FPT (FIS),Công ty TNHH Hệ thống Thông tin FPT (FIS),Công ty TNHH Hệ thống Thông tin FPT (FIS),,
Bán hàng hóa và dịch vụ,Công ty TNHH Hệ thống Thông tin FPT (FIS) > Bán hàng hóa và dịch vụ,Bán hàng hóa và dịch vụ,21.939.059.689,23.488.129.630,21939059689.0,23488129630.0
"Mua tài sản cổ định, hàng hóa và dịch vụ","Công ty TNHH Hệ thống Thông tin FPT (FIS) > Mua tài sản cổ định, hàng hóa và dịch vụ","Mua tài sản cổ định, hàng hóa và dịch vụ",31.716.620.381,195.917.348.335,31716620381.0,195917348335.0
Công ty Cổ phần Bán lẻ Kỹ thuật số FPT (FRT),Công ty Cổ phần Bán lẻ Kỹ thuật số FPT (FRT),Công ty Cổ phần Bán lẻ Kỹ thuật số FPT (FRT),Công ty Cổ phần Bán lẻ Kỹ thuật số FPT (FRT),Công ty Cổ phần Bán lẻ Kỹ thuật số FPT (FRT),,
Bán hàng hóa và dịch vụ,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT (FRT) > Bán hàng hóa và dịch vụ,Bán hàng hóa và dịch vụ,24.997.381.364,23.377.923.846,24997381364.0,23377923846.0
"Mua tài sản cổ định, hàng hóa và dịch vụ","Công ty Cổ phần Bán lẻ Kỹ thuật số FPT (FRT) > Mua tài sản cổ định, hàng hóa và dịch vụ","Mua tài sản cổ định, hàng hóa và dịch vụ",6.554.802.812,4.950.772.197,6554802812.0,4950772197.0
