row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước (Trình bày lại),numeric__CHỈ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại)
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,23,10.471.610.837.957,8.854.832.868.640,,1.0,23.0,10471610837957.0,8854832868640.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,23,73.184.080.848,33.309.726.707,,2.0,23.0,73184080848.0,33309726707.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ(10=01-02),10,,10.398.426.757.109,8.821.523.141.933,,10.0,,10398426757109.0,8821523141933.0
4.,4.,4.,Giá vốn hàng bán và dịch vụ cung cấp,11,24,5.342.392.704.451,4.603.932.001.163,,11.0,24.0,5342392704451.0,4603932001163.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,5.056.034.052.658,4.217.591.140.770,,20.0,,5056034052658.0,4217591140770.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,26,266.886.134.091,211.037.774.319,,21.0,26.0,266886134091.0,211037774319.0
7.,7.,7.,Chi phí tài chính,22,27,215.486.846.509,145.704.744.354,,22.0,27.0,215486846509.0,145704744354.0
,,,- Trong đó: Chi phí lãi vay,23,,210.056.968.511,133.046.974.598,,23.0,,210056968511.0,133046974598.0
8.,8.,8.,Chi phí bán hàng,25,,1.138.256.795.689,959.987.030.807,,25.0,,1138256795689.0,959987030807.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,,2.166.671.769.608,1.868.791.044.372,,26.0,,2166671769608.0,1868791044372.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh(30=20+(21-22)-(25+26)),30,,1.802.504.774.943,1.454.146.095.556,,30.0,,1802504774943.0,1454146095556.0
11.,11.,11.,Thu nhập khác,31,,10.871.328.607,8.522.722.094,,31.0,,10871328607.0,8522722094.0
12.,12.,12.,Chi phí khác,32,,5.222.941.220,5.137.338.782,,32.0,,5222941220.0,5137338782.0
13.,13.,13.,Lợi nhuận khác (40=31-32),40,,5.648.387.387,3.385.383.312,,40.0,,5648387387.0,3385383312.0
14.,14.,14.,Tổng lợi nhuận kể toán trước thuế (50=30+40),50,,1.808.153.162.330,1.457.531.478.868,,50.0,,1808153162330.0,1457531478868.0
15.,15.,15.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,28,344.935.615.565,276.202.846.027,,51.0,28.0,344935615565.0,276202846027.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,28,,21.732.498.727,,52.0,28.0,,21732498727.0
17.,17.,17.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,1.463.217.546.765,1.159.596.134.114,,60.0,,1463217546765.0,1159596134114.0
,,,Trong đó:,,,,,,,,,
,,,Lợi nhuận sau thuế của cổ đông Công ty mẹ,61,,1.351.359.851.256,1.049.347.341.503,,61.0,,1351359851256.0,1049347341503.0
,,,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,111.857.695.509,110.248.792.611,,62.0,,111857695509.0,110248792611.0
18.,18.,18.,Lãi cơ bản trên cổ phiếu,70,29,,3.778,,70.0,29.0,,3778.0
