row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp /thu trong năm,Số đã thực nộp/ thu/được khẩu trừ trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp /thu trong năm,numeric__Số đã thực nộp/ thu/được khẩu trừ trong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế thu nhập doanh nghiệp,a. Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,9.444.092.790,-,-,9.444.092.790,9444092790.0,,,9444092790.0
Các loại thuế khác,a. Các khoản phải thu > Các loại thuế khác,Các loại thuế khác,85.090.391,252.208.085,268.186.071,69.112.405,85090391.0,252208085.0,268186071.0,69112405.0
,,,9.529.183.181,252.208.085,268.186.071,9.513.205.195,9529183181.0,252208085.0,268186071.0,9513205195.0
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
Thuế giá trị gia tăng,b. Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,17.913.240.204,558.426.360.855,551.018.933.544,25.320.667.515,17913240204.0,558426360855.0,551018933544.0,25320667515.0
- Thuế GTGT đầu ra,b. Các khoản phải trả > - Thuế GTGT đầu ra,- Thuế GTGT đầu ra,17.913.240.204,386.896.352.163,379.488.924.852,25.320.667.515,17913240204.0,386896352163.0,379488924852.0,25320667515.0
- Thuế GTGT hàng nhập khẩu,b. Các khoản phải trả > - Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,-,171.530.008.692,171.530.008.692,-,,171530008692.0,171530008692.0,
Thuế nhập khẩu,b. Các khoản phải trả > Thuế nhập khẩu,Thuế nhập khẩu,-,12.771.466.662,12.771.466.662,-,,12771466662.0,12771466662.0,
Thuế thu nhập doanh nghiệp,b. Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,53.813.646.183,367.392.740.728,329.545.899.768,91.660.487.143,53813646183.0,367392740728.0,329545899768.0,91660487143.0
Các loại thuế khác,b. Các khoản phải trả > Các loại thuế khác,Các loại thuế khác,3.927.015.167,138.524.207.216,131.320.318.899,11.130.903.484,3927015167.0,138524207216.0,131320318899.0,11130903484.0
- Thuế môn bài,b. Các khoản phải trả > - Thuế môn bài,- Thuế môn bài,-,264.000.000,264.000.000,-,,264000000.0,264000000.0,
- Thuế thu nhập cá nhân,b. Các khoản phải trả > - Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,3.510.946.333,116.329.513.246,110.521.922.382,9.318.537.197,3510946333.0,116329513246.0,110521922382.0,9318537197.0
- Thuế khác,b. Các khoản phải trả > - Thuế khác,- Thuế khác,416.068.834,21.930.693.970,20.534.396.517,1.812.366.287,416068834.0,21930693970.0,20534396517.0,1812366287.0
Các khoản phải nộp khác,b. Các khoản phải trả > Các khoản phải nộp khác,Các khoản phải nộp khác,-,1.606.000,1.606.000,-,,1606000.0,1606000.0,
,,,75.653.901.554,1.077.116.381.461,1.024.658.224.873,128.112.058.142,75653901554.0,1077116381461.0,1024658224873.0,128112058142.0
