row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm nay,Năm trước(Trình bày lại),numeric__Mã số,numeric__Năm nay,numeric__Năm trước(Trình bày lại)
III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,-,30.284.641.600,31.0,,30284641600.0
"2. Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành","III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2. Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành","2. Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,(269.625.000),-,32.0,-269625000.0,
3. Tiền thu từ đi vay,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3. Tiền thu từ đi vay,3. Tiền thu từ đi vay,33,5.470.952.854.357,4.285.016.260.941,33.0,5470952854357.0,4285016260941.0
4. Tiền trả nợ gốc vay,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 4. Tiền trả nợ gốc vay,4. Tiền trả nợ gốc vay,34,(4.626.339.709.368),(1.963.338.847.865),34.0,-4626339709368.0,-1963338847865.0
"5. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 5. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","5. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(373.522.000.400),(544.328.449.150),36.0,-373522000400.0,-544328449150.0
Lưu chuyển tiền thuần từ hoạt động tài chính,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,470.821.519.589,1.807.633.605.526,40.0,470821519589.0,1807633605526.0
Lưu chuyển tiền thuần trong năm (50=20+30+40),III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm (50=20+30+40),Lưu chuyển tiền thuần trong năm (50=20+30+40),50,6.473.190.201,(92.851.276.012),50.0,6473190201.0,-92851276012.0
Tiền và tương đương tiền đầu năm,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,544.515.759.978,637.367.035.990,60.0,544515759978.0,637367035990.0
Ảnh hưởng của thay đổi tỷ giá hồi đoái quy đổi ngoại tệ,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hồi đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hồi đoái quy đổi ngoại tệ,61,1.350.562.229,-,61.0,1350562229.0,
Tiền và tương đương tiền cuối năm (70=50+60+61),III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền cuối năm (70=50+60+61),Tiền và tương đương tiền cuối năm (70=50+60+61),70,552.339.512.408,544.515.759.978,70.0,552339512408.0,544515759978.0
