row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Đơn vị: Triệu VND Số đầu năm (Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: Triệu VND Số đầu năm (Trình bày lại)
A,A,A,TÀI SẢN,,,,,,,
I.,A > I.,I.,"Tiền mặt, vàng bạc, đá quỹ",5,7.657.329,6.953.737,,5.0,7657329.0,6953737.0
II.,A > II.,II.,"Tiền gửi tại Ngân hàng Nhà nước (""NHNN"")",6,26.689.038,34.967.412,,6.0,26689038.0,34967412.0
III.,A > III.,III.,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,7,126.900.005,67.473.403,,7.0,126900005.0,67473403.0
1.,A > 1.,1.,Tiền gửi tại TCTD khác,,85.538.175,44.293.700,,,85538175.0,44293700.0
2.,A > 2.,2.,Cho vay các TCTD khác,,41.421.170,23.286.783,,,41421170.0,23286783.0
3.,A > 3.,3.,Dư phòng rủi ro tiễn gửi tại các TCTD khác và cho vay các TCTD khác,8,(59.340),(107.080),,8.0,-59340.0,-107080.0
IV.,A > IV.,IV.,Chứng khoán kinh doanh,9,8.289.797,9.476.852,,9.0,8289797.0,9476852.0
1.,A > 1.,1.,Chứng khoán kinh doanh,,8.289.797,9.476.852,,,8289797.0,9476852.0
V.,A > V.,V.,Các công cụ tài chính phải sinh và các tài sản tài chính khác,10,150.122,-,,10.0,150122.0,
VI.,A > VI.,VI.,Cho vay khách hàng,,823.985.711,700.673.416,,,823985711.0,700673416.0
1.,A > 1.,1.,Cho vay khách hàng,11,834.435.199,710.084.584,,11.0,834435199.0,710084584.0
2.,A > 2.,2.,Dư phòng rủi ro cho vay khách hàng,12,(10.449.488),(9.411.168),,12.0,-10449488.0,-9411168.0
VII.,A > VII.,VII.,Chứng khoán đầu tư,13,145.022.963,143.690.843,,13.0,145022963.0,143690843.0
1.,A > 1.,1.,Chứng khoán đầu tư sản sàng để bán,,117.580.043,113.297.919,,,117580043.0,113297919.0
2.,A > 2.,2.,Chứng khoán đầu tư giữ đến ngày đáo hạn,,37.417.911,36.430.028,,,37417911.0,36430028.0
3.,A > 3.,3.,Dư phòng rủi ro chứng khoán đầu tư,,(9.974.991),(6.037.104),,,-9974991.0,-6037104.0
VIII.,A > VIII.,VIII.,"Góp vốn, đầu tư dài hạn",14,7.934.793,8.239.191,,14.0,7934793.0,8239191.0
1.,A > 1.,1.,Đâu tư vào công ty con,14.1,5.759.534,4.465.068,,141.0,5759534.0,4465068.0
2.,A > 2.,2.,Vốn góp liên doanh,14.2,1.970.143,3.277.091,,142.0,1970143.0,3277091.0
3.,A > 3.,3.,Đâu tư vào công ty liên kết,14.3,244.207,424.813,,143.0,244207.0,424813.0
4.,A > 4.,4.,"Góp vốn, đầu tư dài hạn khác",,193.471,345.724,,,193471.0,345724.0
5.,A > 5.,5.,Dư phòng giảm giá đầu tư dài hạn,14.4,(232.562),(273.505),,144.0,-232562.0,-273505.0
IX.,A > IX.,IX.,Tài sản cố định,15,9.414.973,9.582.207,,15.0,9414973.0,9582207.0
1.,A > 1.,1.,Tài sản cố định hữu hình,15.1,4.971.030,5.022.696,,151.0,4971030.0,5022696.0
a.,A > a.,a.,Nguyên giá tài sản cố định,,9.448.077,8.930.455,,,9448077.0,8930455.0
b.,A > b.,b.,Hao mòn tài sản cố định,,(4.477.047),(3.907.759),,,-4477047.0,-3907759.0
2.,A > 2.,2.,Tài sản cố định thuê tài chính,15.2,210.697,254.821,,152.0,210697.0,254821.0
a.,A > a.,a.,Nguyên giá tài sản cố định,,399.013,412.026,,,399013.0,412026.0
b.,A > b.,b.,Hao mòn tài sản cố định,,(188.316),(157.205),,,-188316.0,-157205.0
3.,A > 3.,3.,Tài sản cố định vô hình,15.3,4.233.246,4.304.690,,153.0,4233246.0,4304690.0
a.,A > a.,a.,Nguyên giá tài sản cố định,,5.282.570,5.179.645,,,5282570.0,5179645.0
b.,A > b.,b.,Hao mòn tài sản cố định,,(1.049.324),(874.955),,,-1049324.0,-874955.0
X.,A > X.,X.,Tài sản Có khác,16,16.758.859,15.640.979,,16.0,16758859.0,15640979.0
1.,A > 1.,1.,Các khoản phải thu,,6.575.364,5.205.439,,,6575364.0,5205439.0
2.,A > 2.,2.,"Các khoản lãi, phí phải thu",,8.427.867,8.722.470,,,8427867.0,8722470.0
3.,A > 3.,3.,Tài sản có khác,,2.127.866,2.085.447,,,2127866.0,2085447.0
4.,A > 4.,4.,Dư phòng rủi ro cho các tài sản Có nội bảng khác,,(372.238),(372.377),,,-372238.0,-372377.0
,,,TỔNG TÀI SẢN,,1.172.803.590,996.698.040,,,1172803590.0,996698040.0
