row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,,,
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,
Số dư đầu năm (Trình bày lại),Nguyên giá TSCĐ vô hình > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),3.966.843,1.212.802,5.179.645,3966843.0,1212802.0,5179645.0
Mua trong năm,Nguyên giá TSCĐ vô hình > Mua trong năm,Mua trong năm,50.532,45.206,95.738,50532.0,45206.0,95738.0
Tăng khác,Nguyên giá TSCĐ vô hình > Tăng khác,Tăng khác,6.075,4.388,10.463,6075.0,4388.0,10463.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ vô hình > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.100),(176),(3.276),-3100.0,-176.0,-3276.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,4.020.350,1.262.220,5.282.570,4020350.0,1262220.0,5282570.0
Giá trị hao mòn lũy kê,Giá trị hao mòn lũy kê,Giá trị hao mòn lũy kê,Giá trị hao mòn lũy kê,Giá trị hao mòn lũy kê,Giá trị hao mòn lũy kê,,,
Số dư đầu năm,Giá trị hao mòn lũy kê > Số dư đầu năm,Số dư đầu năm,230.784,644.171,874.955,230784.0,644171.0,874955.0
Khẩu hao trong năm,Giá trị hao mòn lũy kê > Khẩu hao trong năm,Khẩu hao trong năm,27.892,144.257,172.149,27892.0,144257.0,172149.0
Tăng khác,Giá trị hao mòn lũy kê > Tăng khác,Tăng khác,1.937,467,2.404,1937.0,467.0,2404.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kê > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(8),(176),(184),-8.0,-176.0,-184.0
Số dư cuối năm,Giá trị hao mòn lũy kê > Số dư cuối năm,Số dư cuối năm,260.605,788.719,1.049.324,260605.0,788719.0,1049324.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,3.736.059,568.631,4.304.690,3736059.0,568631.0,4304690.0
Số dư cuối năm,Giá trị còn lại của TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,3.759.745,473.501,4.233.246,3759745.0,473501.0,4233246.0
