row_label_raw,row_label_full,"1. Tổng số cán bộ, công nhân viên bình quân trong năm (người)",Năm nay > 23.482,Năm trước > 23.122,numeric__Năm nay > 23.482,numeric__Năm trước > 23.122
"II. Thu nhập của cán bộ, công nhân viên (triệu đồng)","II. Thu nhập của cán bộ, công nhân viên (triệu đồng)","II. Thu nhập của cán bộ, công nhân viên (triệu đồng)",,,,
1. Tổng thu nhập,"II. Thu nhập của cán bộ, công nhân viên (triệu đồng) > 1. Tổng thu nhập",1. Tổng thu nhập,6.763.912,6.045.776,6763912.0,6045776.0
2. Thu nhập bình quân tháng,"II. Thu nhập của cán bộ, công nhân viên (triệu đồng) > 2. Thu nhập bình quân tháng",2. Thu nhập bình quân tháng,"24,00","21,79",24.0,21.79
