row_label_raw,row_label_full,Loai tài sản,Thời gian hữu dụng uốc tính(số năm),numeric__Thời gian hữu dụng uốc tính(số năm)
"Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc",7 - 50,
"Máy móc, thiết bị","Máy móc, thiết bị","Máy móc, thiết bị",5 - 12,
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,6 - 15,
"Thiết bị, dụng cụ quản lý","Phương tiện vận tải > Thiết bị, dụng cụ quản lý","Thiết bị, dụng cụ quản lý",5,5.0
Tài sản cổ định hữu hình khác,Phương tiện vận tải > Tài sản cổ định hữu hình khác,Tài sản cổ định hữu hình khác,4,4.0
Phân mềm máy tỉnh,Phân mềm máy tỉnh,Phân mềm máy tỉnh,3 - 8,
Tài sản cổ định vô hình khác,Tài sản cổ định vô hình khác,Tài sản cổ định vô hình khác,2 - 20,
