row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước (Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại)
1.,1.,1.,Thu nhập lãi và các khoản thu nhập tương tự,25,76.014.568,61.544.141,,25.0,76014568.0,61544141.0
2.,2.,2.,Chi phí lãi và các chi phí tương tự,26,(46.395.374),(38.975.934),,26.0,-46395374.0,-38975934.0
I,I,I,Thu nhập lãi thuần,,29.619.194,22.568.207,,,29619194.0,22568207.0
3.,3.,3.,Thu nhập từ hoạt động dịch vụ,,3.950.336,3.091.582,,,3950336.0,3091582.0
4.,4.,4.,Chi phí hoạt động dịch vụ,,(1.510.903),(988.595),,,-1510903.0,-988595.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,27,2.439.433,2.102.987,,27.0,2439433.0,2102987.0
III,III,III,Lãi thuần từ hoạt động kinh doanh vàng và ngoại hối,28,611.332,532.631,,28.0,611332.0,532631.0
IV,IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,29.1,369.176,388.751,,291.0,369176.0,388751.0
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư,29.2,325.162,422.961,,292.0,325162.0,422961.0
V,V,V,Lãi thuần từ mua bán chứng khoán,,694.338,811.712,,,694338.0,811712.0
5.,5.,5.,Thu nhập từ hoạt động khác,,4.504.210,3.675.049,,,4504210.0,3675049.0
6.,6.,6.,Chi phí từ hoạt động khác,,(1.305.613),(1.878.943),,,-1305613.0,-1878943.0
VI,VI,VI,Lãi thuần từ hoạt động khác,30,3.198.597,1.796.106,,30.0,3198597.0,1796106.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",31,1.084.376,1.250.778,,31.0,1084376.0,1250778.0
VII,VII,VII,Tổng thu nhập hoạt động,,37.647.270,29.062.421,,,37647270.0,29062421.0
7.,7.,7.,Chi phí nhân viên,,(7.903.003),(7.035.453),,,-7903003.0,-7035453.0
8.,8.,8.,Chi phí khấu hao và khấu trừ,,(837.150),(819.385),,,-837150.0,-819385.0
9.,9.,9.,Chi phí hoạt động khác,,(5.096.044),(4.869.851),,,-5096044.0,-4869851.0
VIII,VIII,VIII,Tổng chi phí hoạt động,32,(13.836.197),(12.724.689),,32.0,-13836197.0,-12724689.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,23.811.073,16.337.732,,,23811073.0,16337732.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,"8, 12, 13.6",(15.646.545),(8.883.616),,,-15646545.0,-8883616.0
XI,XI,XI,Tổng lợi nhuận trước thuế,,8.164.528,7.454.116,,,8164528.0,7454116.0
10.,10.,10.,Chi phí thuế TNDN hiện hành,33,(1.571.363),(1.420.500),,33.0,-1571363.0,-1420500.0
XII,XII,XII,Chi phí thuế TNDN,,(1.571.363),(1.420.500),,,-1571363.0,-1420500.0
XIII,XIII,XIII,Lợi nhuận sau thuế,,6.593.165,6.033.616,,,6593165.0,6033616.0
