row_label_raw,row_label_full,col_0,Số cuối nămTriệu VND,Số đầu nămTriệu VND,numeric__Số cuối nămTriệu VND,numeric__Số đầu nămTriệu VND
Tiền gửi không kỳ hạn của các TCTD khác,Tiền gửi không kỳ hạn của các TCTD khác,Tiền gửi không kỳ hạn của các TCTD khác,11.254.269,4.117.160,11254269.0,4117160.0
- Bằng VND,- Bằng VND,- Bằng VND,8.031.470,3.309.598,8031470.0,3309598.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,3.222.799,807.562,3222799.0,807562.0
Tiền gửi có kỳ hạn của các TCTD khác,Tiền gửi có kỳ hạn của các TCTD khác,Tiền gửi có kỳ hạn của các TCTD khác,14.622.569,27.142.367,14622569.0,27142367.0
- Bằng VND,- Bằng VND,- Bằng VND,10.070.294,22.306.584,10070294.0,22306584.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,4.552.275,4.835.783,4552275.0,4835783.0
Vay các TCTD khác,Vay các TCTD khác,Vay các TCTD khác,60.833.747,59.203.538,60833747.0,59203538.0
- Bằng VND,- Bằng VND,- Bằng VND,7.110.545,7.587.224,7110545.0,7587224.0
"Trong đó: - Vay chiết khấu, tái chiết khấu","Trong đó: - Vay chiết khấu, tái chiết khấu","Trong đó: - Vay chiết khấu, tái chiết khấu",-,302.211,,302211.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,53.723.202,51.616.314,53723202.0,51616314.0
"Trong đó: - Vay cãm cổ, thể chấp","Trong đó: - Vay cãm cổ, thể chấp","Trong đó: - Vay cãm cổ, thể chấp",-,-,,
,,,86.710.585,90.463.065,86710585.0,90463065.0
