row_label_raw,row_label_full,col_0,Năm nay,Năm trước(Trình bày lại),numeric__Năm nay,numeric__Năm trước(Trình bày lại)
,,,Triệu VND,Triệu VND,,
Thu nhập tử hoạt động khác,Thu nhập tử hoạt động khác,Thu nhập tử hoạt động khác,4.504.210,3.675.049,4504210.0,3675049.0
Thu nhập tử nợ xấu đã được xử lý,Thu nhập tử nợ xấu đã được xử lý,Thu nhập tử nợ xấu đã được xử lý,3.516.472,2.577.041,3516472.0,2577041.0
Thu nhập về các công cụ tài chính phải sinh khác,Thu nhập về các công cụ tài chính phải sinh khác,Thu nhập về các công cụ tài chính phải sinh khác,767.660,857.319,767660.0,857319.0
Thu từ nghiệp vụ mua bán nợ,Thu từ nghiệp vụ mua bán nợ,Thu từ nghiệp vụ mua bán nợ,8.982,1.355,8982.0,1355.0
Thu khác,Thu khác,Thu khác,211.096,239.334,211096.0,239334.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,(1.305.613),(1.878.943),-1305613.0,-1878943.0
Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,(662.665),(761.022),-662665.0,-761022.0
Chi hỗ trợ công tác xã hội,Chi hỗ trợ công tác xã hội,Chi hỗ trợ công tác xã hội,(284.871),(388.401),-284871.0,-388401.0
Chi về hoạt động kinh doanh khác,Chi về hoạt động kinh doanh khác,Chi về hoạt động kinh doanh khác,(358.077),(729.520),-358077.0,-729520.0
Lãi thuần tử hoạt động khác,Lãi thuần tử hoạt động khác,Lãi thuần tử hoạt động khác,3.198.597,1.796.106,3198597.0,1796106.0
