row_label_raw,row_label_full,col_0,Qua hạn,Không chịu rule ro lãi suất do định giá lại,Ký thay đổi lãi suất,Ký thay đổi lãi suất_1,Ký thay đổi lãi suất_2,Ký thay đổi lãi suất_3,Ký thay đổi lãi suất_4,Ký thay đổi lãi suất_5,Ký thay đổi lãi suất_6,numeric__Qua hạn,numeric__Không chịu rule ro lãi suất do định giá lại,numeric__Ký thay đổi lãi suất,numeric__Ký thay đổi lãi suất_1,numeric__Ký thay đổi lãi suất_2,numeric__Ký thay đổi lãi suất_3,numeric__Ký thay đổi lãi suất_4,numeric__Ký thay đổi lãi suất_5,numeric__Ký thay đổi lãi suất_6
,,,Qua hạn,Không chịu rule ro lãi suất do định giá lại,Đến 1 tháng,Từ 1-3 tháng,Từ 3-6 tháng,Từ 6-12 tháng,Từ 1-5 năm,Trên 5 năm,Tổng,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quỹ","Tải sản > Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",-,7.657.329,-,-,-,-,-,-,7.657.329,,7657329.0,,,,,,,7657329.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,26.689.038,-,-,-,-,-,26.689.038,,,26689038.0,,,,,,26689038.0
Tiền gửi tại các TCTD khác và cho vay các TCTD khác (*),Tải sản > Tiền gửi tại các TCTD khác và cho vay các TCTD khác (*),Tiền gửi tại các TCTD khác và cho vay các TCTD khác (*),-,-,96.296.346,14.071.336,9.294.415,1.439.913,5.305.129,552.206,126.959.345,,,96296346.0,14071336.0,9294415.0,1439913.0,5305129.0,552206.0,126959345.0
Chồng khoản kinh doanh,Tải sản > Chồng khoản kinh doanh,Chồng khoản kinh doanh,-,-,-,547.073,1.208.999,6.533.725,-,-,8.289.797,,,,547073.0,1208999.0,6533725.0,,,8289797.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tải sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,150.122,-,-,-,-,-,-,150.122,,150122.0,,,,,,,150122.0
Cho vay khách hàng (*),Tải sản > Cho vay khách hàng (*),Cho vay khách hàng (*),15.851.752,-,264.207.621,233.970.361,208.308.703,73.818.308,18.587.498,19.690.956,834.435.199,15851752.0,,264207621.0,233970361.0,208308703.0,73818308.0,18587498.0,19690956.0,834435199.0
Chồng khoản đầu tư (*),Tải sản > Chồng khoản đầu tư (*),Chồng khoản đầu tư (*),257.000,6.749.077,6.127.000,2.498.000,10.727.733,13.135.079,55.602.615,59.901.450,154.997.954,257000.0,6749077.0,6127000.0,2498000.0,10727733.0,13135079.0,55602615.0,59901450.0,154997954.0
