row_label_raw,row_label_full,STT,Tên công ty,Quyết định thành lập/ Giấy phép hoạt động,Lĩnh vực hoạt động,Tỷ lệ sở hữu của Ngân hàng,numeric__Tên công ty,numeric__Quyết định thành lập/ Giấy phép hoạt động,numeric__Lĩnh vực hoạt động,numeric__Tỷ lệ sở hữu của Ngân hàng
1,1,1,"Ngân hàng Liên doanh Việt Nga (""VRB"")",0102100878 ngày 05 tháng 8 năm 2013 của Sở Kế hoạch và Đầu tư Thành phố Hà Nội,Tải chính/Ngân hàng,"50,00%",,,,0.5
2,2,2,"Công ty Liên doanh Tháp BIDV (""BIDV Tower"")",2523/GP ngày 02 tháng 11 năm 2005 của Bộ Kế hoạch và Đầu tư,"Xây dựng, vận hành và quản lý khởi văn phòng làm việc","55,00%",,,,0.55
3,3,3,Công ty TNHH Bảo hiểm Nhân thọ BIDV Metlife,72/GP-KDBH ngày 21 tháng 7 năm 2014 của Bộ Tài chính,Bảo hiểm,"35,00%",,,,0.35
