row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
,,,Triệu VND,Triệu VND,,
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,6.575.364,5.205.439,6575364.0,5205439.0
- Chi phí xây dựng cơ bản dở dang,- Chi phí xây dựng cơ bản dở dang,- Chi phí xây dựng cơ bản dở dang,2.734.415,2.080.980,2734415.0,2080980.0
- Các khoản phải thu khác,- Các khoản phải thu khác,- Các khoản phải thu khác,3.840.949,3.124.459,3840949.0,3124459.0
Các khoản lãi và phí phải thu,Các khoản lãi và phí phải thu,Các khoản lãi và phí phải thu,8.427.867,8.722.470,8427867.0,8722470.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,2.127.866,2.085.447,2127866.0,2085447.0
- Các hợp đồng ủy thác đầu tư,- Các hợp đồng ủy thác đầu tư,- Các hợp đồng ủy thác đầu tư,82.960,82.960,82960.0,82960.0
- Chi phí chỗ phân bổ,- Chi phí chỗ phân bổ,- Chi phí chỗ phân bổ,1.449.510,1.386.156,1449510.0,1386156.0
- Tài sản gắn nợ chờ xử lý,- Tài sản gắn nợ chờ xử lý,- Tài sản gắn nợ chờ xử lý,474.535,471.784,474535.0,471784.0
- Tài sản Có khác,- Tài sản Có khác,- Tài sản Có khác,120.861,144.547,120861.0,144547.0
Dự phòng rủi ro cho các tài sản Có nội bảng khác,Dự phòng rủi ro cho các tài sản Có nội bảng khác,Dự phòng rủi ro cho các tài sản Có nội bảng khác,(372.238),(372.377),-372238.0,-372377.0
,,,16.758.859,15.640.979,16758859.0,15640979.0
