row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bị dụngcụ quản lý,TSCĐ khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bị dụngcụ quản lý,numeric__TSCĐ khác,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,,,,,,
Số dư đầu năm (Trình bày lại),Nguyên giá TSCĐ hữu hình > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),4.634.673,3.183.985,918.359,114.856,78.582,8.930.455,4634673.0,3183985.0,918359.0,114856.0,78582.0,8930455.0
Mua trong năm,Nguyên giá TSCĐ hữu hình > Mua trong năm,Mua trong năm,6.285,139.973,12.080,3.092,13.187,174.617,6285.0,139973.0,12080.0,3092.0,13187.0,174617.0
Dầu tư XDCB hoàn thành,Nguyên giá TSCĐ hữu hình > Dầu tư XDCB hoàn thành,Dầu tư XDCB hoàn thành,177.397,99.504,28.930,16.587,1.853,324.271,177397.0,99504.0,28930.0,16587.0,1853.0,324271.0
Mua lại TSCĐ thuê tài chính,Nguyên giá TSCĐ hữu hình > Mua lại TSCĐ thuê tài chính,Mua lại TSCĐ thuê tài chính,-,2.214,13.550,-,-,15.764,,2214.0,13550.0,,,15764.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ hữu hình > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(12.322),(32.835),(31.635),(3.811),(2.460),(83.063),-12322.0,-32835.0,-31635.0,-3811.0,-2460.0,-83063.0
Tăng/(Giám) khác,Nguyên giá TSCĐ hữu hình > Tăng/(Giám) khác,Tăng/(Giám) khác,64.122,19.099,2.023,80,709,86.033,64122.0,19099.0,2023.0,80.0,709.0,86033.0
Số dư cuối năm,Nguyên giá TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,4.870.155,3.411.940,943.307,130.804,91.871,9.448.077,4870155.0,3411940.0,943307.0,130804.0,91871.0,9448077.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm (Trình bày lại),Giá trị hao mòn lũy kế > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),1.075.776,2.176.482,544.637,69.331,41.533,3.907.759,1075776.0,2176482.0,544637.0,69331.0,41533.0,3907759.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,220.772,290.590,72.688,20.664,17.267,621.981,220772.0,290590.0,72688.0,20664.0,17267.0,621981.0
Mua lại TSCĐ thuê tài chính,Giá trị hao mòn lũy kế > Mua lại TSCĐ thuê tài chính,Mua lại TSCĐ thuê tài chính,-,2.171,9.738,-,-,11.909,,2171.0,9738.0,,,11909.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(7.256),(32.414),(31.635),(3.465),(2.164),(76.934),-7256.0,-32414.0,-31635.0,-3465.0,-2164.0,-76934.0
Tăng/(Giám) khác,Giá trị hao mòn lũy kế > Tăng/(Giám) khác,Tăng/(Giám) khác,2.317,7.100,1.827,730,358,12.332,2317.0,7100.0,1827.0,730.0,358.0,12332.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.291.609,2.443.929,597.255,87.260,56.994,4.477.047,1291609.0,2443929.0,597255.0,87260.0,56994.0,4477047.0
Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,,,,,,
Số dư đầu năm (Trình bày lại),Giá trị còn lại của TSCĐ hữu hình > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),3.558.897,1.007.503,373.722,45.525,37.049,5.022.696,3558897.0,1007503.0,373722.0,45525.0,37049.0,5022696.0
Số dư cuối năm,Giá trị còn lại của TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,3.578.546,968.011,346.052,43.544,34.877,4.971.030,3578546.0,968011.0,346052.0,43544.0,34877.0,4971030.0
