row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dưvốn cổ phần,Quỹ dựphòng tài chính,Quỹ dự trữbố sung vốnđiều lệ,Lợi nhuậnchưa phân phối(Trình bày lại),Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dưvốn cổ phần,numeric__Quỹ dựphòng tài chính,numeric__Quỹ dự trữbố sung vốnđiều lệ,numeric__Lợi nhuậnchưa phân phối(Trình bày lại),numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,34.187.153,30.306,2.222.694,1.112.431,4.274.669,41.827.253,34187153.0,30306.0,2222694.0,1112431.0,4274669.0,41827253.0
Tạm trích các quỹ trong năm,Tạm trích các quỹ trong năm,Tạm trích các quỹ trong năm,-,-,580.000,290.000,(870.000),-,,,580000.0,290000.0,-870000.0,
Trích bổ sung các quỹ theo quyết toàn năm 2016,Trích bổ sung các quỹ theo quyết toàn năm 2016,Trích bổ sung các quỹ theo quyết toàn năm 2016,-,-,47.185,23.593,(68.564),2.214,,,47185.0,23593.0,-68564.0,2214.0
Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,-,-,-,-,6.593.165,6.593.165,,,,,6593165.0,6593165.0
Xử lý tổn thất liên quan đến hoạt độngthe,Xử lý tổn thất liên quan đến hoạt độngthe,Xử lý tổn thất liên quan đến hoạt độngthe,-,-,(588),-,-,(588),,,-588.0,,,-588.0
"Tạm trích quỹ khen thưởng, phúc lợi","Tạm trích quỹ khen thưởng, phúc lợi","Tạm trích quỹ khen thưởng, phúc lợi",-,-,-,-,(1.644.000),(1.644.000),,,,,-1644000.0,-1644000.0
Trả cổ tức cho cổ đông,Trả cổ tức cho cổ đông,Trả cổ tức cho cổ đông,-,-,-,-,(2.393.101),(2.393.101),,,,,-2393101.0,-2393101.0
Thuế phải nộp bổ sung theo quyết toán,Thuế phải nộp bổ sung theo quyết toán,Thuế phải nộp bổ sung theo quyết toán,-,-,-,-,(903),(903),,,,,-903.0,-903.0
Các khoản giảm khác trong năm,Các khoản giảm khác trong năm,Các khoản giảm khác trong năm,-,-,-,-,(7),(7),,,,,-7.0,-7.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,34.187.153,30.306,2.849.291,1.426.024,5.891.259,44.384.033,34187153.0,30306.0,2849291.0,1426024.0,5891259.0,44384033.0
