row_label_raw,row_label_full,Khoản mục,Số đã trình bày trước đầy > Triệu VND,Điều chỉnh > Triệu VND,Số trình bày lại > Triệu VND,numeric__Số đã trình bày trước đầy > Triệu VND,numeric__Điều chỉnh > Triệu VND,numeric__Số trình bày lại > Triệu VND
BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,,,
Thu nhập lãi và các khoản thu nhập tương tự,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,61.585.182,(41.041),61.544.141,61585182.0,-41041.0,61544141.0
Chi phí lãi và các chi phí tương tự,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,(38.975.992),58,(38.975.934),-38975992.0,58.0,-38975934.0
Thu nhập lãi thuần,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Thu nhập lãi thuần,Thu nhập lãi thuần,22.609.190,(40.983),22.568.207,22609190.0,-40983.0,22568207.0
Thu nhập từ hoạt động dịch vụ,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,3.091.732,(150),3.091.582,3091732.0,-150.0,3091582.0
Lãi thuần từ hoạt động dịch vụ,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,2.103.137,(150),2.102.987,2103137.0,-150.0,2102987.0
Thu nhập từ hoạt động khác,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,3.675.042,7,3.675.049,3675042.0,7.0,3675049.0
Chi phí từ hoạt động khác,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Chi phí từ hoạt động khác,Chi phí từ hoạt động khác,(1.878.642),(301),(1.878.943),-1878642.0,-301.0,-1878943.0
Lãi thuần từ hoạt động khác,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,1.796.400,(294),1.796.106,1796400.0,-294.0,1796106.0
Chi phí nhân viên,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Chi phí nhân viên,Chi phí nhân viên,(7.035.457),4,(7.035.453),-7035457.0,4.0,-7035453.0
Chi phí khấu hao và khấu trú,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Chi phí khấu hao và khấu trú,Chi phí khấu hao và khấu trú,(817.779),(1.606),(819.385),-817779.0,-1606.0,-819385.0
Chi phí hoạt động khác,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Chi phí hoạt động khác,Chi phí hoạt động khác,(4.866.016),(3.835),(4.869.851),-4866016.0,-3835.0,-4869851.0
Tổng chi phí hoạt động,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Tổng chi phí hoạt động,Tổng chi phí hoạt động,(12.719.252),(5.437),(12.724.689),-12719252.0,-5437.0,-12724689.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,16.384.596,(46.864),16.337.732,16384596.0,-46864.0,16337732.0
Chi phí dự phòng rủi ro tín dụng,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(8.882.924),(692),(8.883.616),-8882924.0,-692.0,-8883616.0
Tổng lợi nhuận trước thuế,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,7.501.672,(47.556),7.454.116,7501672.0,-47556.0,7454116.0
Chi phí thuế TNDN hiện hành,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(1.429.818),9.318,(1.420.500),-1429818.0,9318.0,-1420500.0
Chi phí thuế TNDN,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Chi phí thuế TNDN,Chi phí thuế TNDN,(1.429.818),9.318,(1.420.500),-1429818.0,9318.0,-1420500.0
Lợi nhuận sau thuế,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Lợi nhuận sau thuế,Lợi nhuận sau thuế,6.071.854,(38.238),6.033.616,6071854.0,-38238.0,6033616.0
