row_label_raw,row_label_full,col_0,Dự phòngcụ thể,Dự phòngchung,Tổng cộng,numeric__Dự phòngcụ thể,numeric__Dự phòngchung,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,,,
Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),4.292.475,5.118.693,9.411.168,4292475.0,5118693.0,9411168.0
Số trích lập dự phòng trong năm,Số trích lập dự phòng trong năm,Số trích lập dự phòng trong năm,8.595.077,935.721,9.530.798,8595077.0,935721.0,9530798.0
"Số dự phòng đã sử dụng để xử lý rútiro (""XLRR"") trong năm","Số dự phòng đã sử dụng để xử lý rútiro (""XLRR"") trong năm","Số dự phòng đã sử dụng để xử lý rútiro (""XLRR"") trong năm",(8.492.478),-,(8.492.478),-8492478.0,,-8492478.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,4.395.074,6.054.414,10.449.488,4395074.0,6054414.0,10449488.0
