row_label_raw,row_label_full,Ban Giám đốc,Ông Nguyễn Việt Thắng > Ông Trần Tuân Dương,Tổng Giám đốc (từ ngày 26/04/2021) > Tổng Giám đốc (đến ngày 25/04/2021),numeric__Ông Nguyễn Việt Thắng > Ông Trần Tuân Dương,numeric__Tổng Giám đốc (từ ngày 26/04/2021) > Tổng Giám đốc (đến ngày 25/04/2021)
Ban Giám đốc,Ban Giám đốc,Ban Giám đốc,Bà Nguyễn Thị Thảo Nguyên,Phó Tổng Giám đốc,,
Ban Giám đốc,Ban Giám đốc,Ban Giám đốc,Ông Nguyễn Việt Thắng,Phó Tổng Giám đốc (đến ngày 25/04/2021),,
