row_label_raw,row_label_full,Dược phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > - Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn > - Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,31/12/2021 > Giá trị ghi số Triệu VND > Dược phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > 1.404.200 > -,31/12/2021 > Giá trị hợp lý Triệu VND > Dược phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > 1.404.200 > (*),1/1/2021 > Giá trị ghi số Triệu VND > Dược phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > 2.355.200 > 170.000,1/1/2021 > Giá trị hợp lý Triệu VND > Dược phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > 2.355.200 > (*),numeric__31/12/2021 > Giá trị ghi số Triệu VND > Dược phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > 1.404.200 > -,numeric__31/12/2021 > Giá trị hợp lý Triệu VND > Dược phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > 1.404.200 > (*),numeric__1/1/2021 > Giá trị ghi số Triệu VND > Dược phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > 2.355.200 > 170.000,numeric__1/1/2021 > Giá trị hợp lý Triệu VND > Dược phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > 2.355.200 > (*)
Dược phân loại là các khoản cho vay và phải thu:,Dược phân loại là các khoản cho vay và phải thu:,Dược phân loại là các khoản cho vay và phải thu:,Dược phân loại là các khoản cho vay và phải thu:,Dược phân loại là các khoản cho vay và phải thu:,Dược phân loại là các khoản cho vay và phải thu:,Dược phân loại là các khoản cho vay và phải thu:,,,,
- Tiền và các khoản tương đương tiền,Dược phân loại là các khoản cho vay và phải thu: > - Tiền và các khoản tương đương tiền,- Tiền và các khoản tương đương tiền,703.474,703.474,2.129.879,2.129.879,703474.0,703474.0,2129879.0,2129879.0
- Phải thu khách hàng và phải thu ngắn hạn khác,Dược phân loại là các khoản cho vay và phải thu: > - Phải thu khách hàng và phải thu ngắn hạn khác,- Phải thu khách hàng và phải thu ngắn hạn khác,7.823.551,7.823.551,3.528.936,3.528.936,7823551.0,7823551.0,3528936.0,3528936.0
- Phải thu về cho vay ngắn hạn và dài hạn,Dược phân loại là các khoản cho vay và phải thu: > - Phải thu về cho vay ngắn hạn và dài hạn,- Phải thu về cho vay ngắn hạn và dài hạn,885.000,(*),8.319.324,(*),885000.0,,8319324.0,
Dược phân loại là tài sản tài chính sẵn sàng để bán:,Dược phân loại là tài sản tài chính sẵn sàng để bán:,Dược phân loại là tài sản tài chính sẵn sàng để bán:,Dược phân loại là tài sản tài chính sẵn sàng để bán:,Dược phân loại là tài sản tài chính sẵn sàng để bán:,Dược phân loại là tài sản tài chính sẵn sàng để bán:,Dược phân loại là tài sản tài chính sẵn sàng để bán:,,,,
- Các khoản đầu tư vào công cụ vốn chủ sở hữu,Dược phân loại là tài sản tài chính sẵn sàng để bán: > - Các khoản đầu tư vào công cụ vốn chủ sở hữu,- Các khoản đầu tư vào công cụ vốn chủ sở hữu,58.479.545,(*),47.586.470,(*),58479545.0,,47586470.0,
Dược phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Dược phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Dược phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Dược phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Dược phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Dược phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Dược phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,,,,
- Phải trả người bán và phải trả ngắn hạn khác,Dược phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ: > - Phải trả người bán và phải trả ngắn hạn khác,- Phải trả người bán và phải trả ngắn hạn khác,(67.047),(67.047),(87.836),(87.836),-67047.0,-67047.0,-87836.0,-87836.0
- Các khoản vay,Dược phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ: > - Các khoản vay,- Các khoản vay,(2.820.923),(*),(4.285.846),(*),-2820923.0,,-4285846.0,
,,,66.407.800,(*),59.716.127,(*),66407800.0,,59716127.0,
