row_label_raw,row_label_full,col_0,Chi phí sửa chữa văn phòng VND,Công cụ và dụng cụ VND,Chi phí làm thủ tục vay VND,Chi phí khác VND,Tổng cộng VND,numeric__Chi phí sửa chữa văn phòng VND,numeric__Công cụ và dụng cụ VND,numeric__Chi phí làm thủ tục vay VND,numeric__Chi phí khác VND,numeric__Tổng cộng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,2.132.425.181,462.002.685,48.233.751.248,564.038.713,51.392.217.827,2132425181.0,462002685.0,48233751248.0,564038713.0,51392217827.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,799.410.496,325.355.877,-,5.164.018.657,6.288.785.030,799410496.0,325355877.0,,5164018657.0,6288785030.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(1.295.308.040),(187.537.001),(17.539.702.524),(4.561.536.912),(23.584.084.477),-1295308040.0,-187537001.0,-17539702524.0,-4561536912.0,-23584084477.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,1.636.527.637,599.821.561,30.694.048.724,1.166.520.458,34.096.918.380,1636527637.0,599821561.0,30694048724.0,1166520458.0,34096918380.0
