row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2021VND,1/1/2021VND,,
Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,
Công ty TNHH Điện lạnh Hòa Phát,Công ty con > Công ty TNHH Điện lạnh Hòa Phát,Công ty TNHH Điện lạnh Hòa Phát,23.625.000,54.800.001,23625000.0,54800001.0
Các bên liên quan khác,Công ty con > Các bên liên quan khác,Các bên liên quan khác,18.424.904,9.430.001,18424904.0,9430001.0
Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,,
Công ty TNHH SL International,Bên khác > Công ty TNHH SL International,Công ty TNHH SL International,14.334.472.000,-,14334472000.0,
Công ty TNHH Tổng Công ty Công nghệvà Giải pháp CMC,Bên khác > Công ty TNHH Tổng Công ty Công nghệvà Giải pháp CMC,Công ty TNHH Tổng Công ty Công nghệvà Giải pháp CMC,7.503.796.300,-,7503796300.0,
Công ty CP Thương mại In Nhật Nam,Bên khác > Công ty CP Thương mại In Nhật Nam,Công ty CP Thương mại In Nhật Nam,3.981.536.410,2.990.284.770,3981536410.0,2990284770.0
Công ty TNHH Bất động sản và Dịch vụ Dương Nguyễn,Bên khác > Công ty TNHH Bất động sản và Dịch vụ Dương Nguyễn,Công ty TNHH Bất động sản và Dịch vụ Dương Nguyễn,-,12.538.800.000,,12538800000.0
Các nhà cung cấp khác,Bên khác > Các nhà cung cấp khác,Các nhà cung cấp khác,5.926.615.429,5.962.748.590,5926615429.0,5962748590.0
,,,31.788.470.043,21.556.063.362,31788470043.0,21556063362.0
