row_label_raw,row_label_full,Tài sân cố dinh huu hinh,Tài sân cố dinh huu hinh_1,Tài sân cố dinh huu hinh_2,Tài sân cố dinh huu hinh_3,Tài sân cố dinh huu hinh_4,Tài sân cố dinh huu hinh_5,numeric__Tài sân cố dinh huu hinh_1,numeric__Tài sân cố dinh huu hinh_2,numeric__Tài sân cố dinh huu hinh_3,numeric__Tài sân cố dinh huu hinh_4,numeric__Tài sân cố dinh huu hinh_5
,,,Nhà cira VND,Máy móc và thiét bị VND,Phuong tiên vân chuyén VND,Thiet bì vân phong VND,Tõng cóng VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Só du dàu nám,Nguyên giá > Só du dàu nám,Só du dàu nám,24.860.459.741,6.432.481.745,54.221.674.417,32.282.601.318,117.797.217.221,24860459741.0,6432481745.0,54221674417.0,32282601318.0,117797217221.0
Tang trong nám,Nguyên giá > Tang trong nám,Tang trong nám,2.156.175.878,-,29.541.300.000,13.361.466.032,45.058.941.910,2156175878.0,,29541300000.0,13361466032.0,45058941910.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(20.132.184.678),-,(4.569.600.000),-,(24.701.784.678),-20132184678.0,,-4569600000.0,,-24701784678.0
Só du cuói nám,Nguyên giá > Só du cuói nám,Só du cuói nám,6.884.450.941,6.432.481.745,79.193.374.417,45.644.067.350,138.154.374.453,6884450941.0,6432481745.0,79193374417.0,45644067350.0,138154374453.0
Giá tri hao mòn luy ké,Giá tri hao mòn luy ké,Giá tri hao mòn luy ké,Giá tri hao mòn luy ké,Giá tri hao mòn luy ké,Giá tri hao mòn luy ké,Giá tri hao mòn luy ké,Giá tri hao mòn luy ké,,,,,
Só du dàu nám,Giá tri hao mòn luy ké > Só du dàu nám,Só du dàu nám,7.358.502.903,4.926.019.340,35.483.074.463,24.867.958.947,72.635.555.653,7358502903.0,4926019340.0,35483074463.0,24867958947.0,72635555653.0
Khau hao trong nám,Giá tri hao mòn luy ké > Khau hao trong nám,Khau hao trong nám,1.981.719.309,275.793.024,6.437.581.286,3.275.771.402,11.970.865.021,1981719309.0,275793024.0,6437581286.0,3275771402.0,11970865021.0
Dièu chinh khau hao luy ké,Giá tri hao mòn luy ké > Dièu chinh khau hao luy ké,Dièu chinh khau hao luy ké,(5.290.609.573),-,-,-,(5.290.609.573),-5290609573.0,,,,-5290609573.0
Thanh lý,Giá tri hao mòn luy ké > Thanh lý,Thanh lý,(1.395.463.760),-,(3.695.875.574),-,(5.091.339.334),-1395463760.0,,-3695875574.0,,-5091339334.0
Só du cuói nám,Giá tri hao mòn luy ké > Só du cuói nám,Só du cuói nám,2.654.148.879,5.201.812.364,38.224.780.175,28.143.730.349,74.224.471.767,2654148879.0,5201812364.0,38224780175.0,28143730349.0,74224471767.0
Giá tri cón lai,Giá tri cón lai,Giá tri cón lai,Giá tri cón lai,Giá tri cón lai,Giá tri cón lai,Giá tri cón lai,Giá tri cón lai,,,,,
Só du dàu nám,Giá tri cón lai > Só du dàu nám,Só du dàu nám,17.501.956.838,1.506.462.405,18.738.599.954,7.414.642.371,45.161.661.568,17501956838.0,1506462405.0,18738599954.0,7414642371.0,45161661568.0
Só du cuói nám,Giá tri cón lai > Só du cuói nám,Só du cuói nám,4.230.302.062,1.230.669.381,40.968.594.242,17.500.337.001,63.929.902.686,4230302062.0,1230669381.0,40968594242.0,17500337001.0,63929902686.0
