row_label_raw,row_label_full,- Thuyết minh theo loại tiền gửi,31/12/2025,31/12/2024,numeric__31/12/2025,numeric__31/12/2024
Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,10.998.890,9.086.482,10998890.0,9086482.0
- Bằng VND,- Bằng VND,- Bằng VND,10.837.179,8.816.331,10837179.0,8816331.0
- Bằng ngoại hối,- Bằng ngoại hối,- Bằng ngoại hối,161.711,270.151,161711.0,270151.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,116.052.916,86.845.912,116052916.0,86845912.0
- Bằng VND,- Bằng VND,- Bằng VND,115.937.935,86.780.234,115937935.0,86780234.0
- Bằng ngoại hối,- Bằng ngoại hối,- Bằng ngoại hối,114.981,65.678,114981.0,65678.0
Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,816,288,816.0,288.0
Tiền gửi ký quỹ,Tiền gửi ký quỹ,Tiền gửi ký quỹ,473.510,251.908,473510.0,251908.0
- Bằng VND,- Bằng VND,- Bằng VND,473.509,251.907,473509.0,251907.0
- Bằng ngoại hối,- Bằng ngoại hối,- Bằng ngoại hối,1,1,1.0,1.0
Tổng cộng,Tổng cộng,Tổng cộng,127.526.132,96.184.590,127526132.0,96184590.0
