row_label_raw,row_label_full,Năm nay > Số dư đầu năm > Dự phòng rủi ro trích lập / (hoàn nhập) trong năm,Dự phòng chung > 434.903 > 237.406,Dự phòng cụ thể > 761.413 > 87.267,numeric__Dự phòng chung > 434.903 > 237.406,numeric__Dự phòng cụ thể > 761.413 > 87.267
Sử dụng quỹ dự phòng xử lý các khoản nợ khó thu hồi,Sử dụng quỹ dự phòng xử lý các khoản nợ khó thu hồi,Sử dụng quỹ dự phòng xử lý các khoản nợ khó thu hồi,-,(283.208),,-283208.0
Tăng quỹ dự phòng do nhận lại nợ từ VAMC,Tăng quỹ dự phòng do nhận lại nợ từ VAMC,Tăng quỹ dự phòng do nhận lại nợ từ VAMC,-,4.051,,4051.0
Số dư cuối năm (*),Số dư cuối năm (*),Số dư cuối năm (*),672.309,569.523,672309.0,569523.0
Năm trước,Năm trước,Năm trước,Dự phòng chung,Dự phòng cụ thể,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,312.594,765.501,312594.0,765501.0
Dự phòng rủi ro trích lập / (hoàn nhập) trong năm,Năm trước > Dự phòng rủi ro trích lập / (hoàn nhập) trong năm,Dự phòng rủi ro trích lập / (hoàn nhập) trong năm,122.309,99.114,122309.0,99114.0
Sử dụng quỹ dự phòng xử lý các khoản nợ khó thu hồi,Năm trước > Sử dụng quỹ dự phòng xử lý các khoản nợ khó thu hồi,Sử dụng quỹ dự phòng xử lý các khoản nợ khó thu hồi,-,(142.573),,-142573.0
Tăng quỹ dự phòng do nhận lại nợ từ VAMC,Năm trước > Tăng quỹ dự phòng do nhận lại nợ từ VAMC,Tăng quỹ dự phòng do nhận lại nợ từ VAMC,-,39.371,,39371.0
Số dư cuối năm,Năm trước > Số dư cuối năm,Số dư cuối năm,434.903,761.413,434903.0,761413.0
Chi tiết số dư dự phòng cuối năm (*),Chi tiết số dư dự phòng cuối năm (*),Chi tiết số dư dự phòng cuối năm (*),31/12/2025,31/12/2024,,
Dự phòng rủi ro cho vay khách hàng,Chi tiết số dư dự phòng cuối năm (*) > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,1.241.832,1.196.316,1241832.0,1196316.0
+ Dự phòng chung,Chi tiết số dư dự phòng cuối năm (*) > + Dự phòng chung,+ Dự phòng chung,672.309,434.903,672309.0,434903.0
+ Dự phòng cụ thể,Chi tiết số dư dự phòng cuối năm (*) > + Dự phòng cụ thể,+ Dự phòng cụ thể,569.523,761.413,569523.0,761413.0
Cộng,Chi tiết số dư dự phòng cuối năm (*) > Cộng,Cộng,1.241.832,1.196.316,1241832.0,1196316.0
