row_label_raw,row_label_full,11.1 Chi phí xây dựng cơ bản dở dang,31/12/2025,31/12/2024,numeric__31/12/2025,numeric__31/12/2024
- Mua sắm TSCĐ khác,- Mua sắm TSCĐ khác,- Mua sắm TSCĐ khác,71.004,46.357,71004.0,46357.0
Cộng,Cộng,Cộng,71.004,46.357,71004.0,46357.0
11.2 Các khoản phải thu,11.2 Các khoản phải thu,11.2 Các khoản phải thu,31/12/2025,31/12/2024,,
- Các khoản phải thu nội bộ,11.2 Các khoản phải thu > - Các khoản phải thu nội bộ,- Các khoản phải thu nội bộ,2.121.596,2.608.717,2121596.0,2608717.0
- Các khoản phải thu bên ngoài,11.2 Các khoản phải thu > - Các khoản phải thu bên ngoài,- Các khoản phải thu bên ngoài,704.058,5.426.716,704058.0,5426716.0
Phải thu từ hoạt động bán nợ,11.2 Các khoản phải thu > Phải thu từ hoạt động bán nợ,Phải thu từ hoạt động bán nợ,-,3.991.775,,3991775.0
Phải thu các khoản ký quỹ,11.2 Các khoản phải thu > Phải thu các khoản ký quỹ,Phải thu các khoản ký quỹ,33.960,27.032,33960.0,27032.0
Các khoản phải thu bên ngoài khác,11.2 Các khoản phải thu > Các khoản phải thu bên ngoài khác,Các khoản phải thu bên ngoài khác,670.098,1.407.909,670098.0,1407909.0
Cộng,11.2 Các khoản phải thu > Cộng,Cộng,2.825.654,8.035.433,2825654.0,8035433.0
11.3 Tài sản có khác,11.3 Tài sản có khác,11.3 Tài sản có khác,31/12/2025,31/12/2024,,
- Tài sản khác,11.3 Tài sản có khác > - Tài sản khác,- Tài sản khác,9.366,9.192,9366.0,9192.0
- Chi phí chờ phân bổ,11.3 Tài sản có khác > - Chi phí chờ phân bổ,- Chi phí chờ phân bổ,1.257.063,714.300,1257063.0,714300.0
- Tài sản gán nợ chờ xử lý (ii),11.3 Tài sản có khác > - Tài sản gán nợ chờ xử lý (ii),- Tài sản gán nợ chờ xử lý (ii),1.843.063,1.843.063,1843063.0,1843063.0
Cộng,11.3 Tài sản có khác > Cộng,Cộng,3.109.492,2.566.555,3109492.0,2566555.0
