row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2025,Tổng giá trị hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng) > Tại ngày 31 tháng 12 năm 2025,Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày lập báo cáo) > Tài sản > Tại ngày 31 tháng 12 năm 2025,Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày lập báo cáo) > Công nợ > Tại ngày 31 tháng 12 năm 2025,Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày lập báo cáo) > Giá trị thuần > Tại ngày 31 tháng 12 năm 2025,numeric__Tổng giá trị hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng) > Tại ngày 31 tháng 12 năm 2025,numeric__Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày lập báo cáo) > Tài sản > Tại ngày 31 tháng 12 năm 2025,numeric__Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày lập báo cáo) > Công nợ > Tại ngày 31 tháng 12 năm 2025,numeric__Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày lập báo cáo) > Giá trị thuần > Tại ngày 31 tháng 12 năm 2025
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,11.187.595,14.999,(780),14.219,11187595.0,14999.0,-780.0,14219.0
Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,1.327.338,14.999,-,14.999,1327338.0,14999.0,,14999.0
Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,9.860.257,-,(780),(780),9860257.0,,-780.0,-780.0
Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,-,-,-,-,,,,
Tổng cộng,Công cụ tài chính phải sinh khác > Tổng cộng,Tổng cộng,11.187.595,14.999,(780),14.219,11187595.0,14999.0,-780.0,14219.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,,,,
Công cụ tài chính phải sinh tiền tệ,Tại ngày 31 tháng 12 năm 2024 > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,10.950.329,-,(86.313),(86.313),10950329.0,,-86313.0,-86313.0
Giao dịch kỳ hạn tiền tệ,Tại ngày 31 tháng 12 năm 2024 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,41.459,-,(53),(53),41459.0,,-53.0,-53.0
Giao dịch hoán đổi tiền tệ,Tại ngày 31 tháng 12 năm 2024 > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,10.908.870,-,(86.260),(86.260),10908870.0,,-86260.0,-86260.0
Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,-,-,-,-,,,,
Tổng cộng,Công cụ tài chính phải sinh khác > Tổng cộng,Tổng cộng,10.950.329,-,(86.313),(86.313),10950329.0,,-86313.0,-86313.0
