row_label_raw,row_label_full,Báo cáo tình hình tài chính riêng,7 - 10,numeric__7 - 10
Báo cáo kết quả hoạt động riêng,Báo cáo kết quả hoạt động riêng,Báo cáo kết quả hoạt động riêng,11,11.0
Báo cáo lưu chuyển tiền tệ riêng,Báo cáo lưu chuyển tiền tệ riêng,Báo cáo lưu chuyển tiền tệ riêng,12 - 14,
Thuyết minh báo cáo tài chính riêng,Thuyết minh báo cáo tài chính riêng,Thuyết minh báo cáo tài chính riêng,15 - 55,
