row_label_raw,row_label_full,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác > Mã chứng khoán,Đầu tư góp vốn vào đơn vị khác > 31/12/2020 > Giá gốc,Đầu tư góp vốn vào đơn vị khác > 31/12/2020 > Giá trị hợp lý,Đầu tư góp vốn vào đơn vị khác > 31/12/2020 > Dự phòng,Đầu tư góp vốn vào đơn vị khác > 01/01/2020 > Giá gốc,Đầu tư góp vốn vào đơn vị khác > 01/01/2020 > Giá trị hợp lý,numeric__Đầu tư góp vốn vào đơn vị khác > Mã chứng khoán,numeric__Đầu tư góp vốn vào đơn vị khác > 31/12/2020 > Giá gốc,numeric__Đầu tư góp vốn vào đơn vị khác > 31/12/2020 > Giá trị hợp lý,numeric__Đầu tư góp vốn vào đơn vị khác > 31/12/2020 > Dự phòng,numeric__Đầu tư góp vốn vào đơn vị khác > 01/01/2020 > Giá gốc,numeric__Đầu tư góp vốn vào đơn vị khác > 01/01/2020 > Giá trị hợp lý
Đầu tư vào Công ty con,Đầu tư vào Công ty con,Đầu tư vào Công ty con,,VND,VND,VND,VND,VND,,,,,,
Công ty con đầu tư 100% vốn,Công ty con đầu tư 100% vốn,Công ty con đầu tư 100% vốn,,,,,,,,,,,,
- Công ty TNHH MTV Tổng Công ty Cao su Đồng Nai,Công ty con đầu tư 100% vốn > - Công ty TNHH MTV Tổng Công ty Cao su Đồng Nai,- Công ty TNHH MTV Tổng Công ty Cao su Đồng Nai,3.025.798.070.098,,,-,3.025.798.070.098,,3025798070098.0,,,,3025798070098.0,
- Công ty TNHH MTV Cao su Bình Long,Công ty con đầu tư 100% vốn > - Công ty TNHH MTV Cao su Bình Long,- Công ty TNHH MTV Cao su Bình Long,935.038.751.632,,,-,935.038.751.632,,935038751632.0,,,,935038751632.0,
- Công ty TNHH MTV Cao su Dầu Tiếng,Công ty con đầu tư 100% vốn > - Công ty TNHH MTV Cao su Dầu Tiếng,- Công ty TNHH MTV Cao su Dầu Tiếng,2.530.772.124.994,,,-,2.530.772.124.994,,2530772124994.0,,,,2530772124994.0,
- Công ty TNHH MTV Cao su Lộc Ninh,Công ty con đầu tư 100% vốn > - Công ty TNHH MTV Cao su Lộc Ninh,- Công ty TNHH MTV Cao su Lộc Ninh,1.077.859.608.482,,,-,1.077.859.608.482,,1077859608482.0,,,,1077859608482.0,
- Công ty TNHH MTV Cao su Phú Riếng,Công ty con đầu tư 100% vốn > - Công ty TNHH MTV Cao su Phú Riếng,- Công ty TNHH MTV Cao su Phú Riếng,1.502.015.240.790,,,-,1.502.015.240.790,,1502015240790.0,,,,1502015240790.0,
- Công ty TNHH MTV Cao su Krong Buk,Công ty con đầu tư 100% vốn > - Công ty TNHH MTV Cao su Krong Buk,- Công ty TNHH MTV Cao su Krong Buk,716.474.580.464,,,-,716.474.580.464,,716474580464.0,,,,716474580464.0,
- Công ty TNHH MTV Cao su Eah Leo,Công ty con đầu tư 100% vốn > - Công ty TNHH MTV Cao su Eah Leo,- Công ty TNHH MTV Cao su Eah Leo,615.594.493.514,,,-,615.594.493.514,,615594493514.0,,,,615594493514.0,
- Công ty TNHH MTV Cao su Chư Prông,Công ty con đầu tư 100% vốn > - Công ty TNHH MTV Cao su Chư Prông,- Công ty TNHH MTV Cao su Chư Prông,1.005.485.148.742,,,-,1.005.485.148.742,,1005485148742.0,,,,1005485148742.0,
