row_label_raw,row_label_full,Đầu tư vào đơn vị khác > - Công ty Cổ phần Phát triển Đô thị và Khu công nghiệp Cao su Việt Nam (1),Mã chứng khoán > Đầu tư vào đơn vị khác > VRG,31/12/2020 > Giá gốcVND > Đầu tư vào đơn vị khác > 9.743.200.000,31/12/2020 > Giá trị hợp lý > Đầu tư vào đơn vị khác > 94.392.121.600,31/12/2020 > Dự phòngVND > Đầu tư vào đơn vị khác > -,01/01/2020 > Giá gốcVND > Đầu tư vào đơn vị khác > 10.005.700.000,01/01/2020 > Giá trị hợp lýVND > Đầu tư vào đơn vị khác > 35.220.064.000,01/01/2020 > Dự phòngVND > Đầu tư vào đơn vị khác > -,numeric__Mã chứng khoán > Đầu tư vào đơn vị khác > VRG,numeric__31/12/2020 > Giá gốcVND > Đầu tư vào đơn vị khác > 9.743.200.000,numeric__31/12/2020 > Giá trị hợp lý > Đầu tư vào đơn vị khác > 94.392.121.600,numeric__31/12/2020 > Dự phòngVND > Đầu tư vào đơn vị khác > -,numeric__01/01/2020 > Giá gốcVND > Đầu tư vào đơn vị khác > 10.005.700.000,numeric__01/01/2020 > Giá trị hợp lýVND > Đầu tư vào đơn vị khác > 35.220.064.000,numeric__01/01/2020 > Dự phòngVND > Đầu tư vào đơn vị khác > -
- Công ty Cổ phần Chế biến Gỗ Thuận An (1),- Công ty Cổ phần Chế biến Gỗ Thuận An (1),- Công ty Cổ phần Chế biến Gỗ Thuận An (1),GTA,18.329.722.400,15.088.491.000,(3.241.231.400),18.329.722.400,13.579.641.900,(4.750.080.500),,18329722400.0,15088491000.0,-3241231400.0,18329722400.0,13579641900.0,-4750080500.0
- Công ty Cổ phần Du lịch Quốc tế Vũng Tàu,- Công ty Cổ phần Du lịch Quốc tế Vũng Tàu,- Công ty Cổ phần Du lịch Quốc tế Vũng Tàu,VIR,3.850.000.000,,-,3.850.000.000,,-,,3850000000.0,,,3850000000.0,,
- Công ty Cổ phần EVN Quốc tế (1),- Công ty Cổ phần EVN Quốc tế (1),- Công ty Cổ phần EVN Quốc tế (1),EIC,44.118.073.392,34.214.400.000,(9.903.673.392),44.118.073.392,32.400.000.000,(11.718.073.392),,44118073392.0,34214400000.0,-9903673392.0,44118073392.0,32400000000.0,-11718073392.0
- Công ty Cổ phần Điện Việt Lào,- Công ty Cổ phần Điện Việt Lào,- Công ty Cổ phần Điện Việt Lào,,79.567.924.335,,-,79.567.924.335,,-,,79567924335.0,,,79567924335.0,,
- Tổng Công ty Xây dựng và Thủy lợi 4 - CTCP (1),- Tổng Công ty Xây dựng và Thủy lợi 4 - CTCP (1),- Tổng Công ty Xây dựng và Thủy lợi 4 - CTCP (1),TL4,24.418.782.000,21.542.792.120,(2.875.989.880),24.418.782.000,21.705.584.000,(2.713.198.000),,24418782000.0,21542792120.0,-2875989880.0,24418782000.0,21705584000.0,-2713198000.0
- Công ty Cổ phần BOT Quốc lộ 13 An Lộc - Hoa Lư,- Công ty Cổ phần BOT Quốc lộ 13 An Lộc - Hoa Lư,- Công ty Cổ phần BOT Quốc lộ 13 An Lộc - Hoa Lư,,23.082.813.181,,-,23.082.813.181,,-,,23082813181.0,,,23082813181.0,,
- Công ty Cổ phần Đầu tư Sài Gòn VRG (3),- Công ty Cổ phần Đầu tư Sài Gòn VRG (3),- Công ty Cổ phần Đầu tư Sài Gòn VRG (3),SIP,686.816,9.094.800,-,123.364.568.486,891.965.416.000,-,,686816.0,9094800.0,,123364568486.0,891965416000.0,
- Công ty Cổ phần Xi măng FICO Tây Ninh (4),- Công ty Cổ phần Xi măng FICO Tây Ninh (4),- Công ty Cổ phần Xi măng FICO Tây Ninh (4),,-,,-,-,,-,,,,,,,
- Công ty Cổ phần Thép Hưng Thịnh (4),- Công ty Cổ phần Thép Hưng Thịnh (4),- Công ty Cổ phần Thép Hưng Thịnh (4),,-,,-,-,,-,,,,,,,
,,,,203.111.202.124,165.246.899.520,(16.020.894.672),326.737.583.794,8.878.371.545.100,(19.181.351.892),,203111202124.0,165246899520.0,-16020894672.0,326737583794.0,8878371545100.0,-19181351892.0
