row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Số dư tại ngày 01/01/2019,Số dư tại ngày 01/01/2019,Số dư tại ngày 01/01/2019,40.000.000.000.000,-,1.213.421.293.553,41.213.421.293.553,40000000000000.0,,1213421293553.0,41213421293553.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,2.590.903.860.441,2.590.903.860.441,,,2590903860441.0,2590903860441.0
Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,-,206.396.524.636,(206.396.524.636),-,,206396524636.0,-206396524636.0,
Trích quỹ Khen thưởng phúc lợi,Trích quỹ Khen thưởng phúc lợi,Trích quỹ Khen thưởng phúc lợi,-,-,(7.024.768.917),(7.024.768.917),,,-7024768917.0,-7024768917.0
Chỉ trả cổ tức,Chỉ trả cổ tức,Chỉ trả cổ tức,-,-,(1.000.000.000.000),(1.000.000.000.000),,,-1000000000000.0,-1000000000000.0
Số dư tại ngày 31/12/2019,Số dư tại ngày 31/12/2019,Số dư tại ngày 31/12/2019,40.000.000.000.000,206.396.524.636,2.590.903.860.441,42.797.300.385.077,40000000000000.0,206396524636.0,2590903860441.0,42797300385077.0
Số dư tại ngày 01/01/2020,Số dư tại ngày 01/01/2020,Số dư tại ngày 01/01/2020,40.000.000.000.000,206.396.524.636,2.590.903.860.441,42.797.300.385.077,40000000000000.0,206396524636.0,2590903860441.0,42797300385077.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,2.963.374.406.880,2.963.374.406.880,,,2963374406880.0,2963374406880.0
Trích lập Quỹ đầu tư phát triển (*),Trích lập Quỹ đầu tư phát triển (*),Trích lập Quỹ đầu tư phát triển (*),-,177.841.860.441,(177.841.860.441),-,,177841860441.0,-177841860441.0,
Trích quỹ Khen thưởng phúc lợi (*),Trích quỹ Khen thưởng phúc lợi (*),Trích quỹ Khen thưởng phúc lợi (*),-,-,(12.512.000.000),(12.512.000.000),,,-12512000000.0,-12512000000.0
Trích quỹ Khen thưởng Ban điều hành (*),Trích quỹ Khen thưởng Ban điều hành (*),Trích quỹ Khen thưởng Ban điều hành (*),-,-,(550.000.000),(550.000.000),,,-550000000.0,-550000000.0
Chia trả cổ tức (*),Chia trả cổ tức (*),Chia trả cổ tức (*),-,-,(2.400.000.000.000),(2.400.000.000.000),,,-2400000000000.0,-2400000000000.0
Số dư tại ngày 31/12/2020,Số dư tại ngày 31/12/2020,Số dư tại ngày 31/12/2020,40.000.000.000.000,384.238.385.077,2.963.374.406.880,43.347.612.791.957,40000000000000.0,384238385077.0,2963374406880.0,43347612791957.0
