row_label_raw,row_label_full,col_0,Bản quyềnVND,Phần mềmmáy tínhVND,KhácVND,TổngVND,numeric__Bản quyềnVND,numeric__Phần mềmmáy tínhVND,numeric__KhácVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,2.661.339.000,12.032.705.361,200.011.000,14.894.055.361,2661339000.0,12032705361.0,200011000.0,14894055361.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,3.486.396.627,-,3.486.396.627,,3486396627.0,,3486396627.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,-,30.011.000,(30.011.000),-,,30011000.0,-30011000.0,
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,2.661.339.000,15.549.112.988,170.000.000,18.380.451.988,2661339000.0,15549112988.0,170000000.0,18380451988.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,
Số đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm,Số đầu năm,2.600.379.136,10.777.599.870,170.000.000,13.547.979.006,2600379136.0,10777599870.0,170000000.0,13547979006.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,48.767.892,1.614.695.657,-,1.663.463.549,48767892.0,1614695657.0,,1663463549.0
Số cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số cuối năm,Số cuối năm,2.649.147.028,12.392.295.527,170.000.000,15.211.442.555,2649147028.0,12392295527.0,170000000.0,15211442555.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Số đầu năm,GIÁ TRỊ CÒN LẠI > Số đầu năm,Số đầu năm,60.959.864,1.255.105.491,30.011.000,1.346.076.355,60959864.0,1255105491.0,30011000.0,1346076355.0
Số cuối năm,GIÁ TRỊ CÒN LẠI > Số cuối năm,Số cuối năm,12.191.972,3.156.817.461,-,3.169.009.433,12191972.0,3156817461.0,,3169009433.0
