row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Năm nay,Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
III. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
1.,III. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1.,1.,Tiền chi mua lại cổ phiếu đã phát hành,32,(572.470.000),-,,32.0,-572470000.0,
2.,III. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2.,2.,Tiền thu từ đi vay,33,234.180.466.916,31.402.837.049,,33.0,234180466916.0,31402837049.0
3.,III. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3.,3.,Tiền trả nợ gốc vay,34,(149.492.654.048),(145.760.637.817),,34.0,-149492654048.0,-145760637817.0
4.,III. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 4.,4.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(1.959.379.265.070),(1.306.211.897.430),,36.0,-1959379265070.0,-1306211897430.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(1.875.263.922.202),(1.420.569.698.198),,40.0,-1875263922202.0,-1420569698198.0
,,,Lưu chuyển tiền thuần trong năm (50=20+30+40),50,(679.881.848.334),(1.366.886.462.166),,50.0,-679881848334.0,-1366886462166.0
,,,Tiền và tương đương tiền đầu năm,60,1.307.839.261.177,2.674.793.260.611,,60.0,1307839261177.0,2674793260611.0
,,,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,(362.870.092),(67.537.268),,61.0,-362870092.0,-67537268.0
,,,Tiền và tương đương tiền cuối năm (70=50+60+61),70,627.594.542.751,1.307.839.261.177,,70.0,627594542751.0,1307839261177.0
