row_label_raw,row_label_full,col_0,Số đầu nămVND,Số phải nộp/thu trong nămVND,Số đã nộp/thu trong nămVND,Số cuối nămVND,numeric__Số đầu nămVND,numeric__Số phải nộp/thu trong nămVND,numeric__Số đã nộp/thu trong nămVND,numeric__Số cuối nămVND
Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,,,,
Thuế giá trị gia tăng,Thuế và các khoản phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,11.597.462.680,292.350.417.379,257.400.707.826,46.547.172.233,11597462680.0,292350417379.0,257400707826.0,46547172233.0
Thuế môn bài,Thuế và các khoản phải nộp > Thuế môn bài,Thuế môn bài,-,27.000.000,27.000.000,-,,27000000.0,27000000.0,
"Thuế xuất, nhập khẩu","Thuế và các khoản phải nộp > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,402.379.265,402.379.265,-,,402379265.0,402379265.0,
Thuế thu nhập doanh nghiệp (*),Thuế và các khoản phải nộp > Thuế thu nhập doanh nghiệp (*),Thuế thu nhập doanh nghiệp (*),201.640.629.634,1.758.840.371.702,1.960.481.001.336,-,201640629634.0,1758840371702.0,1960481001336.0,
Thuế thu nhập cá nhân,Thuế và các khoản phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,949.073.978,285.789.064.564,263.246.383.378,23.491.755.164,949073978.0,285789064564.0,263246383378.0,23491755164.0
Thuế tài nguyên,Thuế và các khoản phải nộp > Thuế tài nguyên,Thuế tài nguyên,161.248.924,2.166.018.132,2.160.128.511,167.138.545,161248924.0,2166018132.0,2160128511.0,167138545.0
"Thuế nhà đất, tiền thuê đất","Thuế và các khoản phải nộp > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",22.305.227.741,80.433.147.919,102.738.375.660,-,22305227741.0,80433147919.0,102738375660.0,
Thuế nhà thầu,Thuế và các khoản phải nộp > Thuế nhà thầu,Thuế nhà thầu,233.670.559,7.118.106.865,6.978.622.495,373.154.929,233670559.0,7118106865.0,6978622495.0,373154929.0
Các khoản phải nộp khác,Thuế và các khoản phải nộp > Các khoản phải nộp khác,Các khoản phải nộp khác,34.971.064,774.773.284,715.028.387,94.715.961,34971064.0,774773284.0,715028387.0,94715961.0
,,,236.922.284.580,2.427.901.279.110,2.594.149.626.858,70.673.936.832,236922284580.0,2427901279110.0,2594149626858.0,70673936832.0
Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,,,,
Thuế giá trị gia tăng,Thuế và các khoản phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,213.729.817,478.085.965,213.729.817,478.085.965,213729817.0,478085965.0,213729817.0,478085965.0
Thuế thu nhập doanh nghiệp,Thuế và các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,59.518.998.664,-,59.518.998.664,,59518998664.0,,59518998664.0
Thuế thu nhập cá nhân,Thuế và các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,16.735.666.785,16.186.792.611,30.430.368.255,2.492.091.141,16735666785.0,16186792611.0,30430368255.0,2492091141.0
"Thuế nhà đất, tiền thuê đất","Thuế và các khoản phải thu > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",1.031.136.174,2.641.783.214,3.006.019.853,666.899.535,1031136174.0,2641783214.0,3006019853.0,666899535.0
Thuế nhà thầu,Thuế và các khoản phải thu > Thuế nhà thầu,Thuế nhà thầu,6.898.881.166,46.714,6.898.881.166,46.714,6898881166.0,46714.0,6898881166.0,46714.0
Lợi nhuận nộp ngân sách,Thuế và các khoản phải thu > Lợi nhuận nộp ngân sách,Lợi nhuận nộp ngân sách,8.278.596.245,11.473.501.150,9.869.005.528,9.883.091.867,8278596245.0,11473501150.0,9869005528.0,9883091867.0
,,,33.158.010.187,90.299.208.318,50.418.004.619,73.039.213.886,33158010187.0,90299208318.0,50418004619.0,73039213886.0
